Location,Freq.,Band,Station Name,For.,Call Sign,Power,P. Unit
Ajax,95.9,FM,KX 96,c,CJKX-FM,50,kW
Ajax,95.9,HD1,KX 96,c,CJKX-HD,50,kW
Ajax,95.9,HD2,Wave.fm,s,CJKX-HD,50,kW
Ajax,95.9,HD3,CKDO,m,CJKX-HD,50,kW
Algonquin Park,100.1,FM,Weatheradio,i,CJNK-FM,50,w
Algonquin Park East,101.3,FM,Weatheradio,i,CJNK-FM-1,22,w
Algonquin Park East,102.7,FM,Algonquin Park,i,CFOA-FM,10,w
Algonquin Park West,101.3,FM,Weatheradio,i,CJNK-FM-2,22,w
Algonquin Park West,102.7,FM,Algonquin Park,i,CFOA-FM-1,10,w
Amherst Island,92.1,FM,CJAI,o,CJAI-FM,250,w
Apsley,92.9,FM,The Fish 92 9,g,CFSH-FM,50,w
Armstrong,91.3,FM,CBC Radio One,1,CBQT-FM-2,50,w
Arnprior,107.7,FM,Oldies 107.7,m,CFMP-FM,2.5,kW
Atikokan,90.1,FM,CBC Radio One,1,CBQI-FM,2.9,kW
Atikokan,91.1,FM,,i,CKAX-FM,50,w
Atikokan,93.5,FM,91 5 CKPR,p,CKPR-FM-2,180,w
Atikokan,95.9,FM,93 1 The Border,p,CFOB-1-FM,50,w
Attawapiskat,89.9,FM,WRN,e,CKMT-FM,10,w
Attawapiskat,101.5,FM,CBC Radio One,1,CBCA-FM,34,w
Aylmer,105.9,FM,Da Brigj,o,CHPD-FM,250,w
Bancroft,97.7,FM,97 7 Moose FM,p,CHMS-FM,50,kW
Bancroft,99.3,FM,CBC Radio One,1,CBLA-FM-5,269,w
Bancroft,103.5,FM,UCB Canada,g,CKJJ-FM-4,250,w
Barrie,93.1,FM,93 1 Fresh Radio,p,CHAY-FM,100,kW
Barrie,95.7,FM,Rock 95,p,CFJB-FM,100,kW
Barrie,98.5,FM,Tourism Radio,i,CKEY-FM,50,w
Barrie,100.3,FM,Life 100.3,g,CJLF-FM,32.8,kW
Barrie,101.1,FM,101.1 Big FM,p,CIQB-FM,7.5,kW
Barrie,106.7,FM,CFRH,F,CFRH-FM-1,175,w
Barrie,107.5,FM,107 5 Kool FM,p,CKMB-FM,50,kW
Barry’s Bay,106.5,FM,106 5 Moose FM,p,CHBY-FM,12,kW
Beardmore,107.1,FM,CFNO,p,CFNO-FM-3,260,w
Beardmore,1240,AM,CBC Radio One,1,CBLE,40,w
Bearskin Lake,90.1,FM,WRN,e,CFBL-FM,1,w
Bearskin Lake,91.9,FM,Wahsa,e,CIDE-FM-1,10,w
Belleville,91.3,FM,91X,o,CJLX-FM,3.2,kW
Belleville,94.3,FM,IRC Première,A,CJBC-1-FM,42.28,kW
Belleville,95.5,FM,95 5 Hits FM,p,CJOJ-FM,35,kW
Belleville,97.1,FM,Mix 97,p,CIGL-FM,50,kW
Belleville,100.1,FM,Cool 100,c,CHCQ-FM,32,kW
Belleville,102.3,FM,UCB Canada,g,CKJJ-FM,15,kW
Belleville,104.7,FM,CBC Radio One,1,CBO-FM-1,10,kW
Belleville,800,AM,800 CJBQ,c m,CJBQ,10,kW
Big Trout Lake,91.9,FM,Wahsa,e,CIDE-FM-2,10,w
Big Trout Lake,100.3,FM,CBC Radio One CORB,1,CFTL-FM,63,w
Blind River new,98.5,FM,IRC Première,A,CBON-FM-6,136,w
Blind River,1010,AM,IRC Première,A,CBON-6,40,w
Bluewater,91.7,FM,Classic Rock 94 5,p,CIBU-FM-1,6,kW
Bolton,105.5,FM,Moose FM,p,CJFB-FM,50,w
Bracebridge,98.3,FM,Information Radio,i,CIIG-FM,50,w
Bracebridge,99.5,FM,99 5 The Moose,p,CFBG-FM,12,kW
Bracebridge/Gravenhurst,102.3,FM,Country 102,c,CJMU-FM,23,kW
Brampton,530,AM,AM 530,e,CHLO,1/0.25,kW
Brampton,1350,AM,Radio Humsafar,e,CIRF,1/0.045,kW
Brantford,92.1,FM,Jewel 92,m,CKPC-FM,80,kW
Brantford,92.1,HD1,Jewel 92,m,CKPC-HD,80,kW
Brantford,92.1,HD2,Z103 5,p,CKPC-HD,80,kW
Brantford,93.9,FM,Arise Brantford,g,CFWC-FM,250,w
Brantford new,93.9,FM,,c,CFWC-FM,3,kW
Brantford,1380,AM,1380 CKPC,c,CKPC,25,kW
Brighton,100.9,FM,Oldies 100.9,m,CIYM-FM,316,w
Britt,107.7,FM,CBC Radio One,1,CBEZ-FM,49,w
Brockville,91.9,FM,CBC Radio One,1,CBOB-FM,1.571,kW
Brockville,99.9,FM,UCB Canada,g,CKJJ-FM-2,50,w
Brockville,102.1,FM,IRC Première,A,CBOF-FM-7,1.495,kW
Brockville,103.7,FM,103 7 Bob FM,p,CJPT-FM,100,kW
Brockville,104.9,FM,104 9 JR FM,p,CFJR-FM,7.7,kW
Bruce Peninsula Park,90.7,FM,Weatheradio,i,CBPS-FM,50,w
Caledon,102.7,FM,Moose FM,p,CFGM-FM,50,w
Caledon new,102.7,FM,Moose FM,p,CJFB-FM,1.1,kW
Cambridge,107.5,FM,107 5 Dave Rocks,p,CJDV-FM,6,kW
Carlsbad Springs,107.7,FM,Carlsbad Vars Radio,o,CJRO-FM,15,w
Cat Lake,89.9,FM,WRN,e,CJPS-FM,10,w
Cat Lake,91.9,FM,Wahsa,e,CIDE-FM-3,10,w
Chapleau,89.9,FM,CBC Radio One,1,CBCU-FM,345,w
Chapleau,91.9,FM,IRC Première,A,CBON-FM-28,345,w
Chapleau,92.7,FM,CHTI,i,CHIM-FM-8,1,w
Chapleau,93.7,FM,,i,CFJW-FM,50,w
Chapleau,95.9,FM,Le Loup 98.9,F p,CHAP-FM,40,w
Chapleau,100.7,FM,Jjam FM,p,CJWA-FM-1,111,w
Chatham-Kent,88.1,FM,CBC Radio One,1,CBEE-FM,1.43,kW
Chatham-Kent,89.3,FM,UCB Canada,g,CKGW-FM,18.7,kW
Chatham-Kent,92.9,FM,CFCO,c,CFCO-1-FM,250,w
Chatham-Kent,94.3,FM,94 3 CKSY,p,CKSY-FM,50,kW
Chatham-Kent,95.1,FM,Cool FM,p,CKUE-FM,42,kW
Chatham-Kent,630,AM,CFCO,c,CFCO,10/6,kW
Christian Island,101.3,FM,Nish 101.3,e,CKUN-FM,900,w
Clarence-Rockland,92.5,FM,Jewel 92 5,m,CHRC-FM,333,w
Cobourg,89.7,FM,Northumberland 89 7,o,CFWN-FM,700,w
Cobourg,90.7,FM,UCB Canada,g,CHJJ-FM,250,w
Cobourg,93.3,FM,my FM,p,CKSG-FM,15.5,kW
Cobourg,103.1,FM,Classical FM,s,CFMX-FM,86.7,kW
Cobourg,107.9,FM,Classic Rock 107.9,p,CHUC-FM,20,kW
Cochrane,98.1,FM,Moose 98.1,p,CHPB-FM,50,w
Cochrane,102.1,FM,CFCJ,g,CFCJ-FM,37,w
Collingwood,95.1,FM,95 1 The Peak,p,CKCB-FM,350,w
Collingwood,102.9,FM,Classical FM,s,CFMO-FM,23,kW
Constance Lake,89.9,FM,WRN,e,CKID-FM,10,w
Cornwall,88.1,FM,CHRI,g,CHRI-FM-1,50,w
Cornwall,92.1,FM,FM 92.1,F o,CHOD-FM,45.6,kW
Cornwall,95.5,FM,CBC Radio One,1,CBOC-FM,3,kW
Cornwall,98.1,FM,IRC Première,A,CBOF-FM-6,3,kW
Cornwall,101.9,FM,boom 101 9,p,CJSS-FM,3.2,kW
Cornwall,104.5,FM,104 5 Fresh Radio,p,CFLG-FM,28.24,kW
Crystal Beach,90.5,FM,CBC Radio One,1,CBLA-FM-1,740,w
Deep River,97.9,FM,CBC Radio One,1,CBCD-FM-1,50,w
Deer Lake,90.1,FM,WRN,e,CKDL-FM,1,w
Deer Lake,91.9,FM,Wahsa,e,CIDE-FM-4,10,w
Dryden,92.7,FM,CKDR,p,CKDR-FM,39,kW
Dryden,100.9,FM,CBC Radio One,1,CBQH-FM,1.3,kW
Dryden,102.7,FM,IRC Première,A,CKSB-6-FM,1.29,kW
Dryden,104.3,FM,Q104,p,CKQV-FM-1,1.9,kW
Dubreuilville,97.9,FM,IRC Première,A,CBON-FM-11,50,w
Dunvegan,92.1,FM,FM 92.1,F o,CHOD-FM-1,20.5,kW
Ear Falls new,95.5,FM,CBC Radio One,1,CBOI-FM,50,w
Ear Falls,97.5,FM,CKDR,p,CKDR-FM-4,50,w
Ear Falls,690,AM,CBC Radio One,1,CBOI,40,w
Elk Lake,89.7,FM,CBC Radio One,1,CBCG-FM,116,w
Elliot Lake,90.3,FM,CBC Radio One,1,CBEC-FM,264,w
Elliot Lake,98.7,FM,The Moose 94.1,p,CKNR-FM-1,50,w
Elliot Lake,101.7,FM,IRC Première,A,CBON-FM-5,2.64,kW
Elliot Lake,102.5,FM,KFM,g,CJTK-FM-3,865,w
Englehart,103.1,FM,The Train,p,CJBB-FM,2.94,kW
Englehart,105.7,FM,KFM,g,CJTK-FM-7,3.3,kW
Erin,91.7,FM,Erin Radio,o,CHES-FM,2.5,kW
Espanola,94.9,FM,IRC Première,A,CBON-FM-7,520,w
Espanola,99.3,FM,The Moose 99.3,p,CJJM-FM,1.41,kW
Exeter,90.5,FM,my FM,p,CKXM-FM,2.95,kW
Fergus,101.1,FM,The Grand at 101,o,CICW-FM,2.25,kW
Foleyet,1450,AM,CBC Radio One,1,CBLF,40,w
Fort Albany,90.1,FM,WRN,e,CKFA-FM,10,w
Fort Albany,102.3,FM,CBC Radio One,1,CBCI-FM,2.4,kW
Fort Erie,101.1,FM,101.1 More FM,p,CFLZ-FM,50,kW
Fort Frances,89.1,FM,IRC Première,A,CKSB-9-FM,12.17,kW
Fort Frances,90.5,FM,CBC Radio One,1,CBQQ-FM,23.55,kW
Fort Frances,93.1,FM,93 1 The Border,p,CFOB-FM,21,kW
Fort Hope,101.5,FM,CBC Radio One,1,CBCF-FM,60,w
Fort Severn,90.1,FM,WRN,e,CKFS-FM,1,w
Fort Severn,91.9,FM,Wahsa,e,CIDE-FM-5,10,w
Frenchman’s Head,91.1,FM,CKZY 90.3,e,VF2592,10,w
Gananoque,99.9,FM,my FM,p,CJGM-FM,4.47,kW
Georgina new,93.7,FM,93.7 K Country,c,CKOU-FM,39,kW
Georgina Island,92.3,FM,NISH Radio,e,CFGI-FM,650,w
Geraldton,89.1,FM,CBC Radio One,1,CBLG-FM,25.123,kW
Geraldton,93.7,FM,IRC Première,A,CBON-FM-22,9.216,kW
Geraldton,100.7,FM,CFNO,p,CFNO-FM-4,130,w
Goderich,99.7,FM,my FM,p,CIYN-FM-1,750,w
Goderich,104.9,FM,Country 104.9,c,CHWC-FM,12.55,kW
Gogama,104.9,FM,IRC Première,A,CBON-FM-21,5.031,kW
Grimsby/Lincoln new,88.5,FM,,p,CKLK-FM,4,kW
Guelph,93.3,FM,CFRU 93.3 FM,o,CFRU-FM,250,w
Guelph,106.1,FM,Magic 106,p,CIMJ-FM,50,kW
Guelph,1460,AM,CJOY,m,CJOY,10,kW
Haldimand,92.9,FM,92 9 The Grand,p,CHTG-FM,10,kW
Haliburton,92.3,FM,CBC Radio One,1,CBLY-FM,50,w
Haliburton,93.5,FM,93 5 Moose FM,p,CFZN-FM,6,kW
Haliburton,100.9,FM,100.9 Canoe FM,o,CKHA-FM,3.4,kW
Hamilton,93.3,FM,CFMU,o,CFMU-FM,250,w
Hamilton/Burlington,94.7,FM,KX 94 7,c,CHKX-FM,100,kW
Hamilton/Burlington,94.7,HD1,KX 94 7,c,CHKX-HD,100,kW
Hamilton/Burlington,94.7,HD2,Wave.fm,s,CHKX-HD,100,kW
Hamilton/Burlington,94.7,HD3,92 9 The Grand,p,CHKX-HD,100,kW
Hamilton,95.3,FM,Energy 95 3,p,CING-FM,100,kW
Hamilton,95.3,HD1,Energy 95 3,p,CING-HD,100,kW
Hamilton,95.3,HD2,Global N. R. 640 Toronto,n,CING-HD,100,kW
Hamilton,95.3,HD3,Global N. R. 900 CHML,n,CING-HD,100,kW
Hamilton,101.5,FM,The Hawk,o,CIOI-FM,240,w
Hamilton,102.9,FM,102 9 K Lite,m,CKLH-FM,40.3,kW
Hamilton/Burlington,107.9,FM,Y108,p,CJXY-FM,26.1,kW
Hamilton,820,AM,Funny 820,s,CHAM,50/10,kW
Hamilton,900,AM,Global N. R. 900 CHML,n,CHML,50,kW
Hamilton,1150,AM,TSN 1150,n,CKOC,50/20,kW
Hanover,91.3,FM,BWR,o,CFBW-FM,250,w
Hawkesbury,88.9,FM,Rouge fm,F p,CIMF-FM-1,1.25,kW
Hawkesbury,102.1,FM,Wow 104.9 102.1,F p,CHPR-FM,780,w
Hawkesbury,107.7,FM,Jewel 107 7,m,CKHK-FM,1.1,kW
Hearst,90.3,FM,IRC Première,A,CBON-FM-26,8.34,kW
Hearst,91.1,FM,CINN FM,F p,CINN-FM,5.46,kW
Hearst,91.9,FM,CBC Radio One,1,CBCC-FM,8.34,kW
Hearst,94.5,FM,The Moose,p,CKHT-FM,130,w
Hearst,95.5,FM,CHTI,i,VF2597,2,w
Hornepayne,92.3,FM,CBC Radio One,1,CBQT-FM-1,50,w
Hornepayne,107.1,FM,CFNO,p,CFNO-FM-2,280,w
Hudson,97.5,FM,CKDR,p,CKDR-FM-3,27,w
Huntsville,88.7,FM,Hunters Bay Radio,o,CKAR-FM,5.7,kW
Huntsville,94.3,FM,CBC Radio One,1,CBLU-FM,70,kW
Huntsville,98.9,FM,Life 100.3,g,CJLF-FM-3,750,w
Huntsville,105.5,FM,105 5 Moose FM,p,CFBK-FM,43.4,kW
Huntsville,106.9,FM,CBC Music,2,CBL-FM-1,70,kW
Ignace,97.5,FM,CKDR,p,CKDR-FM-1,50,w
Ignace,690,AM,CBC Radio One,1,CBES,40,w
Innisfil,96.9,FM,Tourism Radio,i,VF2561,1,w
Iroquois Falls,101.1,FM,Moose 98.1,p,CFIF-FM,33,w
Iroquois Falls,102.7,FM,CHTI,i,CHIM-FM-2,2,w
Iroquois Falls,105.9,FM,KFM,g,CJTK-FM-11,540,w
Kaministiquia,104.5,FM,Energy 103 104,p,CFQK-FM,50,w
Kapuskasing,88.5,FM,KFM,g,CJTK-FM-12,510,w
Kapuskasing,89.7,FM,CKGN,F,CKGN-FM,3,kW
Kapuskasing,90.7,FM,IRC Première,A,CBON-FM-24,43.9,kW
Kapuskasing,92.3,FM,CHTI,i,CHIM-FM-10,2,w
Kapuskasing,100.9,FM,The Moose,p,CKAP-FM,12,kW
Kapuskasing,105.1,FM,CBC Radio One,1,CBOK-FM,43.9,kW
Kasabonika,90.1,FM,WRN,e,CFKP-FM,1,w
Kasabonika,91.9,FM,Wahsa,e,CIDE-FM-6,10,w
Kashechewan,90.1,FM,WRN,e,CKAS-FM,1,w
Kawartha Lakes,91.9,FM,91 9 Bob FM,p,CKLY-FM,11.4,kW
Keewaywin,91.9,FM,Wahsa,e,CIDE-FM-21,8,w
Keewaywin,107.9,FM,,e,VF2574,16,w
Kemptville,97.5,FM,97 5 Juice FM,p,CKVV-FM,2.26,kW
Kenora,89.5,FM,89 5 The Lake,p,CJRL-FM,50,kW
Kenora,93.5,FM,IRC Première,A,CKSB-7-FM,21.721,kW
Kenora,98.7,FM,CBC Radio One,1,CBQX-FM,41.222,kW
Kenora,104.5,FM,Q104,p,CKQV-FM-2,1.6,kW
Kettle Point,107.7,FM,The Eagle,e,CKTI-FM,420,w
Killaloe,102.9,FM,CHCR,o,CHCR-FM,33,w
Kincardine,95.5,FM,my FM,p,CIYN-FM,5.66,kW
Kingfisher Lake,90.1,FM,WRN,e,CFKL-FM,1,w
Kingfisher Lake,91.9,FM,Wahsa,e,CIDE-FM-7,10,w
Kingston,91.9,FM,The Cave,o,CKVI-FM,2,kW
Kingston,92.9,FM,CBC Music,2,CBBK-FM,1.2,kW
Kingston,93.5,FM,Country 93.5,c,CKXC-FM,7.5,kW
Kingston,96.3,FM,96 3 Big FM,p,CFMK-FM,28,kW
Kingston,98.3,FM,98 3 Fly FM,p,CFLY-FM,95.5,kW
Kingston,98.9,FM,Pure Country 99,c,CKLC-FM,15,kW
Kingston,99.5,FM,IRC Première,A,CJBC-2-FM,1.563,kW
Kingston,100.5,FM,UCB Canada,g,CKJJ-FM-3,50,w
Kingston,101.9,FM,CFRC,o,CFRC-FM,3,kW
Kingston,104.3,FM,104 3 Fresh Radio,p,CKWS-FM,8,kW
Kingston,105.7,FM,K Rock 105 7,p,CIKR-FM,50,kW
Kingston,107.5,FM,CBC Radio One,1,CBCK-FM,100,kW
Kirkland Lake,90.3,FM,CBC Radio One,1,CBCR-FM,2.65,kW
Kirkland Lake,93.7,FM,IRC Première,A,CBON-FM-1,2.65,kW
Kirkland Lake,99.1,FM,CHTI,i,CHIM-FM-3,2,w
Kirkland Lake,101.5,FM,CJKL FM,p,CJKL-FM,23,kW
Kitchener/Waterloo,88.3,FM,CJIQ,o,CJIQ-FM,8.22,kW
Kitchener/Brantford,89.1,FM,CBC Radio One,1,CBLA-FM-2,10.4,kW
Kitchener/Brantford,89.9,FM,Ici musique,Q,CJBC-FM-2,14.8,kW
Kitchener/Brantford,90.7,FM,CBC Music,2,CBL-FM-2,8.23,kW
Kitchener/Waterloo,91.5,FM,91 5 The Beat,p,CKBT-FM,10,kW
Kitchener/Waterloo,93.7,FM,Faith FM,g,CJTW-FM,420,w
Kitchener,96.7,FM,CHYM 96.7,p,CHYM-FM,80,kW
Kitchener/Waterloo,98.5,FM,98.5 CKWR,o,CKWR-FM,2.4,kW
Kitchener,99.5,FM,99.5 KFun,m,CKKW-FM,4.3,kW
Kitchener new,99.5,HD1,,,CKKW-HD,4.3,kW
Kitchener/Waterloo,102.7,FM,CKMS,o,CKMS-FM,250,w
Kitchener,105.3,FM,105 3 Virgin Radio,p,CFCA-FM,100,kW
Kitchener/Waterloo,106.7,FM,Country 106.7,c,CIKZ-FM,5,kW
Kitchener,570,AM,570 News,n,CKGL,10,kW
Lac Seul/Kejick Bay,90.3,FM,CKZY 90.3,e,CKZY-FM,10,w
Lac Seul/Kejick Bay,91.9,FM,Wahsa,e,CIDE-FM-8,10,w
Leamington,91.9,FM,CBC Radio One,1,CBEW-FM-1,10.45,kW
Leamington,92.7,FM,Country 95 9,c,CJSP-FM,4,kW
Leamington,96.7,FM,Mix 96.7,p,CHYR-FM,27,kW
Leamington,103.1,FM,IRC Première,A,CBEF-1-FM,1,kW
Listowel new,100.1,FM,,p,CHLP-FM,8,kW
Little Current,102.1,FM,KFM,g,CJTK-FM-2,1.3,kW
London,92.7,FM,Pure Country 93,c,CJBX-FM,50,kW
London,93.5,FM,CBC Radio One,1,CBCL-FM,100,kW
London,94.9,FM,Radio Western,o,CHRW-FM,6,kW
London,95.9,FM,FM 96,p,CFPL-FM,300,kW
London,97.5,FM,97 5 Virgin Radio,p,CIQM-FM,50,kW
London,98.1,FM,Classic Rock 98 1,p,CKLO-FM,40,kW
London,99.3,FM,IRC Première,A,CJBC-4-FM,15.34,kW
London,99.9,FM,Faith FM,g,CHJX-FM,500,w
London,100.5,FM,CBC Music,2,CBBL-FM,15.34,kW
London,102.3,FM,Jack 102 3,p,CHST-FM,100,kW
London,106.9,FM,106.9 The X,o,CIXX-FM,3,kW
London,980,AM,980 CFPL,n,CFPL,10/5,kW
London,1290,AM,NewsTalk 1290,n,CJBK,10,kW
Longlac,107.1,FM,CFNO,p,CFNO-FM-5,4,w
Manitoulin Island,94.1,FM,The Moose 94.1,p,CKNR-FM,90,kW
Manitoulin Island,97.5,FM,CBC Radio One,1,CBCE-FM,21,kW
Manitoulin Island,100.7,FM,Hits 100,p,CFRM-FM,15,kW
Manitoulin Island,103.1,FM,Country 103,c,CHAW-FM,24.8,kW
Manitouwadge,89.7,FM,CBC Radio One,1,CBEB-FM,4.78,kW
Manitouwadge,96.9,FM,IRC Première,A,CBON-FM-23,143,w
Marathon,93.1,FM,CFNO,p,CFNO-FM,50,kW
Marathon,102.3,FM,IRC Première,A,CBON-FM-29,3.862,kW
Marathon,107.5,FM,CBC Radio One,1,CBLM-FM,3.935,kW
Markham,105.9,FM,105.9 The Region,e,CFMS-FM,3,kW
Markham,105.9,HD1,,,CFMS-HD,3,kW
Markham,105.9,HD2,,,CFMS-HD,3,kW
Markham,105.9,HD3,,,CFMS-HD,3,kW
Markham,105.9,HD4,,,CFMS-HD,3,kW
Mattawa,93.9,FM,KFM,g,CJTK-FM-4,50,w
Mattawa,1090,AM,IRC Première,A,CBON-12,40,w
Mattawa,1240,AM,CBC Radio One,1,CBLO,40,w
Maynooth,89.3,FM,CBC Radio One,1,CBOD-FM,110,w
Maynooth,94.7,FM,UCB Canada,g,CKJJ-FM-5,32,w
M’Chigeeng,88.9,FM,Gimaa Radio,e,CHYF-FM,50,w
Meaford,99.3,FM,Jewel 99 3,m,CJGB-FM,100,w
Michipicoten River,100.7,FM,Jjam FM,p,CJWA-FM-3,5,w
Midland,104.1,FM,104.1 The Dock,p,CICZ-FM,20,kW
Milton,101.3,FM,my FM,p,CJML-FM,2,kW
Mississauga,960,AM,News Talk Sauga 960,n,CKNT,2/0.28,kW
Mississauga new,1490,AM,CHTO AM,e,CHTO-1,23/770,w
Mississauga,1650,AM,CINA 1650,e,CINA,5/0.68,kW
Moose Factory,107.1,FM,The Island,e,CJFI-FM,50,w
Moosonee,89.9,FM,CKZY 90.3,e,VF2372,8,w
Moosonee,99.9,FM,CBC Radio One,1,CBEY-FM,135,w
Mount Forest,88.7,FM,The River,o,CIWN-FM,1.88,kW
Muskrat Dam,91.9,FM,Wahsa,e,CIDE-FM-9,10,w
Muskrat Dam,105.1,FM,WRN,e,CFMD-FM,1,w
Naicatchewenin,90.1,FM,WRN,e,CFNP-FM,10,w
Nakina,98.1,FM,CBC Radio One,1,CBLN-FM,50,w
Nakina,107.1,FM,CFNO,p,CFNO-FM-7,49,w
Napanee,88.7,FM,my FM,p,CKYM-FM,11.1,kW
New Liskeard,103.5,FM,CHTI,i,CHIM-FM-4,1,w
New Tecumseth,92.1,FM,my FM,p,CIMA-FM,3.75,kW
Newmarket,88.5,FM,Jewel 88 5,m,CKDX-FM,30,kW
Newmarket,102.7,FM,102.7 CHOP FM,o,CHOP-FM,5,w
Neyaashiinigmiing,100.1,FM,CHFN 100.1 FM,e,CHFN-FM,72,w
Niagara Falls,105.1,FM,105.1 The River,p,CJED-FM,15,kW
Nipigon new,92.5,FM,UCB Canada,g,CJOA-FM-1,50,w
Nipigon,97.3,FM,IRC Première,A,CBON-FM-19,2,kW
Nipigon,98.9,FM,CBC Radio One,1,CBQY-FM,2,kW
