,call sign,owner,format,station name,for.,power,p. unit,frequency,city of licence
394,CBQP-FM,CBC Radio One,public news/talk,CBC Radio One,1,83,w,105.1 FM,Pickle Lake
395,CIPR-FM,Superior Info Radio,tourist information,Superior Information Radio,i,2,w,97.3 FM,Pigeon River Bridge
396,CIDE-FM-12,Wawatay,First Nations community radio,Wahsa,o,10,w,91.9 FM,Pikangikum
397,CBQU-FM,CBC Radio One,public news/talk,CBC Radio One,1,34,w,100.3 FM,Pikangikum
398,CJPP-FM,Parks Canada,tourist information,Point Pelee National Park,i,50,w,90.7 FM,Point Pelee National Park
399,CFBY-FM,Wawatay,First Nations community radio,WRN,o,10,w,90.1 FM,Poplar Hill
400,CIDE-FM-13,Wawatay,First Nations community radio,Wahsa,o,10,w,91.9 FM,Poplar Hill
401,CIYN-FM-2,My Broadcasting Corporation,classic hits,my FM,p,3.1,kW,90.9 FM,Port Elgin
402,CFPS-FM,Bayshore Broadcasting,adult contemporary,98 The Beach,m,8.3,kW,97.9 FM,Port Elgin
403,CFWN-FM,Small Town Radio (STR),community radio,Northumberland 89 7,o,700,w,89.7 FM,Port Hope
404,CKPP-FM,Vista Broadcast Group,hot adult contemporary,107 9 Coast FM,p,4.2,kW,107.9 FM,Prescott
405,CJPE-FM,Prince Edward County Radio Corporation,community radio,99.3 County FM,o,3,kW,99.3 FM,Prince Edward County
406,CJTN-FM,Quinte Broadcasting,classic rock,Rock 107,p,15,kW,107.1 FM,Quinte West
407,CBEA-FM,CBC Radio One,public news/talk,CBC Radio One,1,82,w,90.5 FM,Red Lake
409,CHMY-FM,My Broadcasting Corporation,adult contemporary,my FM,p,7.1,kW,96.1 FM,Renfrew
410,CJHR-FM,Valley Heritage Radio,community radio,Valley Heritage Radio,s,20,kW,98.7 FM,Renfrew
411,CFMJ,Corus Entertainment,news/talk/sports,Global N. R. 640 Toronto,n,50,kW,640 AM,Richmond Hill
412,CBOF-4,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,40,w,1400 AM,Rolphton
413,CKTB,Bell Media Radio,news/talk,610 CKTB,n,10/5,kW,610 AM,St. Catharines
414,CFBN-FM,The St. Lawrence Seaway Management Corporation,tourist information,St. Lawrence Seaway M. Co.,i,50,w,93.3 FM,St. Catharines
415,CHTZ-FM,Bell Media Radio,active rock,97 7 HITZ FM,p,50,kW,97.7 FM,St. Catharines
416,CFBU-FM,Brock University,campus radio,CFBU,o,250,w,103.7 FM,St. Catharines
417,CHRE-FM,Bell Media Radio,adult contemporary,105.7 EZ Rock,m,50,kW,105.7 FM,St. Catharines
418,VF8016,Faith Baptist Church of St. Thomas,Christian radio LPFM,Faith Baptist Church,g,1,w,90.1 FM,St. Thomas
419,CKZM-FM,My Broadcasting Corporation,adult contemporary,my FM,p,4.37,kW,94.1 FM,St. Thomas
420,CFHK-FM,Corus Entertainment,hot adult contemporary,103 1 Fresh Radio,p,60,kW,103.1 FM,St. Thomas
421,CFEY-FM,Wawatay,First Nations community radio,WRN,o,1,w,90.1 FM,Sachigo Lake
422,CIDE-FM-14,Wawatay,First Nations community radio,Wahsa,o,10,w,91.9 FM,Sachigo Lake
423,CIDE-FM-15,Wawatay,First Nations community radio,Wahsa,o,10,w,91.9 FM,Sandy Lake
424,CBQV-FM,CBC Radio One,public news/talk,CBC Radio One,1,37,w,101.1 FM,Sandy Lake
425,CHOK,Blackburn Radio,full service/variety,CHOK,c,10,kW,1070 AM,Sarnia
426,CBEG-FM,CBC Radio One,public news/talk,CBC Radio One,1,1.8,kW,90.3 FM,Sarnia
427,CFGX-FM,Blackburn Radio,adult contemporary,99.9 The Fox,p,26,kW,99.9 FM,Sarnia
428,CBEF-3-FM,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,1.886,kW,101.5 FM,Sarnia
429,CHOK-1-FM,Blackburn Radio,full service/variety,CHOK,c,200,w,103.9 FM,Sarnia
430,CHKS-FM,Blackburn Radio,classic hits,Cool 106.3,p,50,kW,106.3 FM,Sarnia
432,CBON-FM-18,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,3.59,kW,88.1 FM,Sault Ste. Marie
433,CBSM-FM,CBC Radio One,public news/talk,CBC Radio One,1,46,kW,89.5 FM,Sault Ste. Marie
435,CHAS-FM,Rogers Communications,hot adult contemporary,Kiss 100.5,p,13.9,kW,100.5 FM,Sault Ste. Marie
436,CJQM-FM,Rogers Communications,country,Country 104.3,c,100,kW,104.3 FM,Sault Ste. Marie
437,CJTK-FM-8,Eternacom,Christian radio,KFM,g,2.2,kW,106.5 FM,Sault Ste. Marie
438,CBQL-FM,CBC Radio One,public news/talk,CBC Radio One,1,135,w,104.9 FM,Savant Lake
439,CJRK-FM,8041393 Canada Inc.,multilingual,East FM,e,1.2,kW,102.7 FM,Scarborough
440,CBLB-FM,CBC Radio One,public news/talk,CBC Radio One,1,130,w,90.9 FM,Schreiber
441,CHIX-FM,Wawatay,First Nations community radio,WRN,o,10,w,89.9 FM,Seine River
442,CBLA-FM-4,CBC Radio One,public news/talk,CBC Radio One,1,6,kW,102.5 FM,Shelburne
443,CFDC-FM,Bayshore Broadcasting,country,Country 105,c,36.2,kW,104.9 FM,Shelburne
444,CKED-FM,Northwest Broadcasting,hot adult contemporary,Energy 103 104,p,10,w,103.5 FM,Shuniah
445,CHCD-FM,My Broadcasting Corporation,adult contemporary,my FM,p,50,kW,98.9 FM,Simcoe
446,CKNC-FM,My Broadcasting Corporation,oldies,Oldies 99.7,m,18,kW,99.7 FM,Simcoe
447,CKWT-FM,Wawatay,First Nations community radio,WRN,o,224,w,89.9 FM,Sioux Lookout
448,CIDE-FM,Wawatay,First Nations community radio,Wahsa,o,10,w,91.9 FM,Sioux Lookout
449,CBLS-FM,CBC Radio One,public news/talk,CBC Radio One,1,500,w,95.3 FM,Sioux Lookout
451,CKQV-FM-3,Norwesto Communications,CHR,Q104,p,49,w,104.1 FM,Sioux Lookout
453,CBQS-FM,CBC Radio One,public news/talk,CBC Radio One,1,1.3,kW,95.7 FM,Sioux Narrows
454,CHBJ-FM,Wawatay,First Nations community radio,WRN,o,10,w,90.1 FM,Slate Falls
455,CIDE-FM-16,Wawatay,First Nations community radio,Wahsa,o,10,w,91.9 FM,Slate Falls
456,CJET-FM,Rogers Communications,adult hits,Jack 92 3,p,17,kW,92.3 FM,Smiths Falls
457,CKBY-FM,Rogers Communications,country,Country 101 1,c,100,kW,101.1 FM,Smiths Falls
459,CKGN-FM-1,Radio communautaire KapNord,community radio (French),CKGN,F,250,w,94.7 FM,Smooth Rock Falls
462,CJTK-FM-10,Eternacom,Christian radio,KFM,g,530,w,104.9 FM,Spring Bay
463,CJAI-FM,Amherst Island Public Radio,community radio,CJAI,o,250,w,92.1 FM,Stella
464,CJCS-FM,Vista Broadcast Group,oldies,107 1  Juice FM,m,4,kW,107.1 FM,Stratford
465,CHGK-FM,Vista Broadcast Group,adult contemporary,107 7 2Day FM,p,6,kW,107.7 FM,Stratford
466,CJMI-FM,My Broadcasting Corporation,adult contemporary,my FM,p,1.75,kW,105.7 FM,Strathroy
467,CHYQ-FM,Le5 Communications,hot adult contemporary (French),Le Loup 97.1,F p,6.5,kW,97.1 FM,Sturgeon Falls
468,CFSF-FM,Vista Broadcast Group,adult contemporary,99 3 The Moose,p,1.35,kW,99.3 FM,Sturgeon Falls
469,CJKX-FM-1,Durham Radio,country,KX 96,c,5,kW,89.9 FM,Sunderland
470,CJTK-FM-9,Eternacom,Christian radio,KFM,g,540,w,98.3 FM,Sundridge
471,CJTI-FM,1158556 Ontario Ltd. (Roger de Brabant),tourist information,CHTI,i,1,w,92.1 FM,Temagami
472,CBCS-FM-1,CBC Radio One,public news/talk,CBC Radio One,1,50,w,106.1 FM,Temagami
473,CBON-FM-2,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,780,w,99.7 FM,Temiskaming Shores
474,CBCY-FM,CBC Radio One,public news/talk,CBC Radio One,1,780,w,102.3 FM,Temiskaming Shores
475,CJTT-FM,Connelly Communications,adult contemporary,CJTT FM,p,10,kW,104.5 FM,Temiskaming Shores
476,CKBK-FM,Lenape Community Radio Society,First Nations community radio,The Buck,e,50,w,104.3 FM,Thamesville
477,CBQT-FM,CBC Radio One,public news/talk,CBC Radio One,1,23.73,kW,88.3 FM,Thunder Bay
478,CBON-FM-20,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,16.5,kW,89.3 FM,Thunder Bay
479,CKSI-FM,Thunder Bay Information Radio,tourist information,T. B. Information Radio,i,50,w,90.5 FM,Thunder Bay
480,CKPR-FM,Dougall Media,adult contemporary,91 5 CKPR,p,100,kW,91.5 FM,Thunder Bay
481,CJSD-FM,Dougall Media,active rock,Rock 94,p,93,kW,94.3 FM,Thunder Bay
482,CJOA-FM,St. Joseph's Care Group,Christian radio,UCB Canada,g,250,w,95.1 FM,Thunder Bay
483,CITB-FM,Superior Info Radio,tourist information,Superior Information Radio,i,8,w,97.1 FM,Thunder Bay
484,CJTL-FM-1,Native Evangelical Fellowship of Canada,First Nations community radio,CJTL,e g,50,w,98.1 FM,Thunder Bay
485,CJUK-FM,Acadia Broadcasting,adult contemporary,99 9 The Bay,p,250,w,99.9 FM,Thunder Bay
486,CBQ-FM,CBC Music,public music,CBC Music,2,25,kW,101.7 FM,Thunder Bay
487,CILU-FM,Lakehead University,campus radio,LU Radio,o,134,w,102.7 FM,Thunder Bay
488,CKTG-FM,Acadia Broadcasting,country,Country 105,c,100,kW,105.3 FM,Thunder Bay
489,CBCL-FM-1,CBC Radio One,public news/talk,CBC Radio One,1,1.28,kW,88.7 FM,Tillsonburg
490,CKOT-FM,Tillsonburg Broadcasting,adult contemporary,Easy 101 3,m,26,kW,101.3 FM,Tillsonburg
491,CJDL-FM,Tillsonburg Broadcasting,country,Country 107.3,c,7.8,kW,107.3 FM,Tillsonburg
492,CJQQ-FM,Rogers Communications,active rock,92 1 Rock,p,40,kW,92.1 FM,Timmins
493,CHMT-FM,Vista Broadcast Group,adult hits,93 1 Moose FM,p,16.4,kW,93.1 FM,Timmins
494,CBCJ-FM,CBC Radio One,public news/talk,CBC Radio One,1,11,kW,96.1 FM,Timmins
495,CBON-FM-25,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,11,kW,97.1 FM,Timmins
496,CKGB-FM,Rogers Communications,hot adult contemporary,Kiss 99.3,p,40,kW,99.3 FM,Timmins
497,CHYK-FM,Le5 Communications,hot adult contemporary (French),Le Loup 104.1,F,2.8,kW,104.1 FM,Timmins
498,CJTK-FM-5,Eternacom,Christian radio,KFM,g,1.4,kW,105.5 FM,Timmins
499,CJWT-FM,Wawatay,First Nations community radio,WRN,e,50,w,106.7 FM,Timmins
501,CJCL,Rogers Communications,sports,Sportsnet 590 The Fan,n,50,kW,590 AM,Toronto
502,CFTR,Rogers Communications,news,680 News,n,50,kW,680 AM,Toronto
503,CFZM,ZoomerMedia,pop standards,Zoomer Radio,m,50,kW,740 AM,Toronto
504,CJBC,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,50,kW,860 AM,Toronto
505,CFRB,Bell Media Radio,news/talk,NewsTalk 1010,n,50,kW,1010 AM,Toronto
506,CHUM,Bell Media Radio,sports,TSN 1050,n,50,kW,1050 AM,Toronto
507,CJRU,Ryerson University,campus radio,The Scope,o,99,w,1280 AM,Toronto
508,CHKT,Fairchild Radio,multilingual,AM 1430,e,50,kW,1430 AM,Toronto
509,CHIN,CHIN Radio/TV International,multilingual,CHIN,e,50/30,kW,1540 AM,Toronto
510,CHHA,San Lorenzo Latin American Community Centre,community radio (Spanish),CHHA 1610,e,6.25,kW,1610 AM,Toronto
511,CHTO,Canadian Hellenic Toronto Radio,multilingual,CHTO AM,e,6/1,kW,1690 AM,Toronto
512,CIND-FM,Rock 95 Broadcasting,indie rock,Indie 88,p,12,kW,88.1 FM,Toronto
513,CIRV-FM,Frank Alvarez,multilingual,Red FM,e,4.18,kW,88.9 FM,Toronto
514,CIUT-FM,University of Toronto,campus radio,CIUT,o,15,kW,89.5 FM,Toronto
515,CJBC-FM,Ici Musique,public music (French),Ici musique,Q,10,kW,90.3 FM,Toronto
516,CJRT-FM,CJRT-FM Inc.,jazz,Jazz FM 91,s,40,kW,91.1 FM,Toronto
517,CHIN-1-FM,CHIN Radio/TV International,multilingual,CHIN,e,5,kW,91.9 FM,Toronto
518,CKIS-FM,Rogers Communications,CHR,Kiss 92 5,p,13,kW,92.5 FM,Toronto
519,CFXJ-FM,Stingray Digital,Rhythmic contemporary,Flow 93 5,p,3.706,kW,93.5 FM,Toronto
520,CBL-FM,CBC Music,public music,CBC Music,2,38,kW,94.1 FM,Toronto
521,CJKX-FM-2,Durham Radio,country,KX 96,c,220,w,95.9 FM,Toronto
522,CFMZ-FM,ZoomerMedia,classical,Classical FM,s,60,kW,96.3 FM,Toronto
523,CKHC-FM,Humber College,campus radio,Radio Humber,o,60,w,96.9 FM,Toronto
524,CHBM-FM,Stingray Digital,classic hits,boom 97 3,p,28.9,kW,97.3 FM,Toronto
525,CHFI-FM,Rogers Communications,soft adult contemporary,98.1 CHFI,m,44,kW,98.1 FM,Toronto
526,CKFG-FM,Intercity Broadcasting Network,multilingual,G98 7,p,1,kW,98.7 FM,Toronto
527,CBLA-FM,CBC Radio One,public news/talk,CBC Radio One,1,98,kW,99.1 FM,Toronto
528,CKFM-FM,Bell Media Radio,CHR,99 9 Virgin Radio,p,40,kW,99.9 FM,Toronto
529,CHIN-FM,CHIN Radio/TV International,multilingual,CHIN,e,8.5,kW,100.7 FM,Toronto
530,CJSA-FM,Diversity Media Group,multilingual,CMR,e,850,w,101.3 FM,Toronto
531,CIRR-FM,Evanov Communications,LGBT-targeted CHR,Proud FM,s,225,w,103.9 FM,Toronto
532,CHUM-FM,Bell Media Radio,hot adult contemporary,CHUM 104 5,p,40,kW,104.5 FM,Toronto
533,CHOQ-FM,Cooperative Radio-Toronto,community radio (French),CHOQ FM,F,1.5,kW,105.1 FM,Toronto
534,CHRY-FM,Canadian Centre for Civic Media and Arts Development Inc.,urban alternative,Vibe 105,o,250,w,105.5 FM,Toronto
535,CFPT-FM,First Peoples Radio Inc.,First Nations,elmnt fm,e,2.95,kW,106.5 FM,Toronto
536,CILQ-FM,Corus Entertainment,classic rock,Q107,p,40,kW,107.1 FM,Toronto
537,CIUX-FM,Frank Torres (OBCI),classic hits,105.5 Hits FM,p,900,w,105.5 FM,Uxbridge
540,CKQV-FM,Norwesto Communications,CHR,Q104,p,1.6,kW,103.3 FM,Vermilion Bay
541,CKXS-FM,Five Amigos Broadcasting,variety hits,99 1 CKXS,p,3,kW,99.1 FM,Wallaceburg
542,CFRZ-FM,Walpole Island First Nation Radio,First Nations community radio,CFRZ,e,50,w,98.3 FM,Walpole Island
544,CIDE-FM-17,Wawatay,First Nations community radio,Wahsa,e,10,w,91.9 FM,Wapekeka
545,CHGB-FM,Bayshore Broadcasting,adult hits,97 7 Max FM,p,700,w,97.7 FM,Wasaga Beach
546,CHRZ-FM,Wasauksing Communications Group,First Nations community radio,ReZ 91,e,60,w,91.3 FM,Wasauksing
547,CKWR-FM,Wired World Inc.,community radio,98.5 CKWR,o,2.4,kW,98.5 FM,Waterloo
548,CKKW-FM,Bell Media Radio,oldies,99.5 KFun,m,4.3,kW,99.5 FM,Waterloo
549,CKMS-FM,Radio Waterloo,community radio,CKMS,o,250,w,102.7 FM,Waterloo
550,CFCA-FM,Bell Media Radio,hot adult contemporary,105 3 Virgin Radio,p,100,kW,105.3 FM,Waterloo
551,CIKZ-FM,Rogers Communications,country,Country 106.7,c,5,kW,106.7 FM,Waterloo
552,CBLJ-FM,CBC Radio One,public news/talk,CBC Radio One,1,4.807,kW,88.3 FM,Wawa
553,CBON-FM-27,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,890,w,90.7 FM,Wawa
554,CJWA-FM,Labbe Media,adult contemporary,Jjam FM,p,210,w,107.1 FM,Wawa
556,CIDE-FM-18,Wawatay,First Nations community radio,Wahsa,e,10,w,91.9 FM,Weagamow Lake
558,CIDE-FM-20,Wawatay,First Nations community radio,Wahsa,e,8,w,91.9 FM,Webequie
559,CKYY-FM,[Stingray Media],country,Country 89,c,4.25,kW,89.1 FM,Welland
560,CIXL-FM,[Stingray Media],classic rock,91.7 Giant FM,p,50,kW,91.7 FM,Welland
561,CIWS-FM,WhiStle Community Radio,community radio,Whistle Radio,o,50,w,102.9 FM,Whitchurch–Stouffville
562,CBLW-FM,CBC Radio One,public news/talk,CBC Radio One,1,50,w,97.7 FM,White River
563,CFNO-FM-8,Dougall Media,adult contemporary,CFNO,p,20,w,100.7 FM,White River
565,CBCW-FM,CBC Radio One,public news/talk,CBC Radio One,1,162,w,98.5 FM,Whitney
566,CBL-FM-4,CBC Music,public music,CBC Music,2,20.22,kW,97.1 FM,Wiarton
567,CHCR-FM-1,Homegrown Community Radio,community radio,CHCR,o,35,w,104.5 FM,Wilno
568,CKWW,Bell Media Radio,oldies,AM 580,m,500,w,580 AM,Windsor
569,CKLW,Bell Media Radio,news/talk,AM 800,n,50,kW,800 AM,Windsor
570,CBEF,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,10,kW,1550 AM,Windsor
571,CIMX-FM,Bell Media Radio,modern rock,89X,p,100,kW,88.7 FM,Windsor
572,CBE-FM,CBC Music,public music,CBC Music,2,100,kW,89.9 FM,Windsor
573,CJAH-FM,United Christian Broadcasters Canada,Christian radio,UCB Canada,g,7.5,kW,90.5 FM,Windsor
574,CIDR-FM,Bell Media Radio,adult album alternative,93 9 The River,p,100,kW,93.9 FM,Windsor
575,CJWF-FM,Blackburn Radio,country,Country 95 9,c,11.8,kW,95.9 FM,Windsor
576,CBEW-FM,CBC Radio One,public news/talk,CBC Radio One,1,19,kW,97.5 FM,Windsor
577,CJAM-FM,University of Windsor,campus radio,CJAM,o,2.084,kW,99.1 FM,Windsor
578,CKUE-FM-1,Blackburn Radio,classic hits,Cool FM,p,9,kW,100.7 FM,Windsor
579,CINA-FM,Neeti P. Ray (OBCI),multilingual,CINA Radio,e,5,kW,102.3 FM,Windsor
580,CJBC-FM-1,Ici Musique,public music (French),Ici musique,Q,6,kW,103.9 FM,Windsor
581,CBEF-2-FM,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,2.4,kW,105.5 FM,Windsor
582,CKNX,Blackburn Radio,country,CKNX,c,10/1,kW,920 AM,Wingham
583,CIBU-FM,Blackburn Radio,classic rock,Classic Rock 94 5,p,75,kW,94.5 FM,Wingham
584,CBLA-FM-3,CBC Radio One,public news/talk,CBC Radio One,1,30,kW,100.9 FM,Wingham
585,CKNX-FM,Blackburn Radio,adult contemporary,101.7 The One,p,100,kW,101.7 FM,Wingham
586,CJFH-FM,Sound of Faith Broadcasting,Christian radio,Hope FM,g,37,w,94.3 FM,Woodstock
587,CKDK-FM,Corus Entertainment,country,Country 104,c,51,kW,103.9 FM,Woodstock
588,CIHR-FM,Byrnes Communications,adult contemporary,Heart FM,p,20,kW,104.7 FM,Woodstock
590,CIDE-FM-19,Wawatay,First Nations community radio,Wahsa,e,10,w,91.9 FM,Wunnummin Lake
