,call sign,owner,format,lat,long,station name,power,p. unit,frequency,city of licence,n_stations,language,genre
0,CJKX-FM,Durham Radio,country,43.85833,-79.03639,KX 96,50,kW,95.9 FM,Ajax,1,1,country
1,CJNK-FM,Weatheradio Canada,weather alerts,45.58417,-78.35833,Weatheradio,50,w,100.1 FM,Algonquin Park,2,1,weather alerts
2,CJNK-FM-1,Weatheradio Canada,weather alerts,45.58417,-78.35833,Weatheradio,22,w,101.3 FM,Algonquin Park East,1,1,weather alerts
3,CJNK-FM-2,Weatheradio Canada,weather alerts,45.58417,-78.35833,Weatheradio,22,w,101.3 FM,Algonquin Park West,1,1,weather alerts
4,CFOA-FM,Friends of Algonquin Park,tourist/park information,45.58417,-78.35833,Algonquin Park,10,w,102.7 FM,Algonquin Park,2,1,tourist/park information
5,CIMA-FM,My Broadcasting Corporation,adult contemporary,44.1499,-79.8632,my FM,3.75,kW,92.1 FM,Alliston,1,1,adult contemporary
6,CFSH-FM,Apsley Community Chapel,Christian radio,44.75,-78.1,The Fish 92 9,50,w,92.9 FM,Apsley,1,1,christian radio
7,CBQT-FM-2,CBC Radio One,public news/talk,50.305,-89.04194,CBC Radio One,50,w,91.3 FM,Armstrong,1,1,public news/talk
8,CFMP-FM,My Broadcasting Corporation,adult contemporary,45.433,-76.35,Oldies 107.7,2.5,kW,107.7 FM,Arnprior,1,1,adult contemporary
9,CBQI-FM,CBC Radio One,public news/talk,48.75,-91.617,CBC Radio One,2.9,kW,90.1 FM,Atikokan,2,1,public news/talk
10,CKPR-FM-2,Dougall Media,adult contemporary,48.75,-91.617,91 5 CKPR,180,w,93.5 FM,Atikokan,2,1,adult contemporary
11,CKMT-FM,Wawatay,First Nations community radio,52.82056,-83.88333,WRN,10,w,89.9 FM,Attawapiskat,2,1,first nations community radio
12,CBCA-FM,CBC Radio One,public news/talk,52.82056,-83.88333,CBC Radio One,34,w,101.5 FM,Attawapiskat,2,1,public news/talk
13,CHPD-FM,Aylmer and area Inter-Mennonite Community Council,Mennonite community radio (German),42.767,-80.983,Da Brigj,250,w,105.9 FM,Aylmer,1,1,mennonite community radio
14,CHMS-FM,Vista Broadcast Group,adult contemporary,45.05,-77.85,97 7 Moose FM,50,kW,97.7 FM,Bancroft,3,1,adult contemporary
15,CBLA-FM-5,CBC Radio One,public news/talk,45.05,-77.85,CBC Radio One,269,w,99.3 FM,Bancroft,3,1,public news/talk
16,CKJJ-FM-4,United Christian Broadcasters Canada,Christian radio,45.05,-77.85,UCB Canada,250,w,103.5 FM,Bancroft,3,1,christian radio
17,CHAY-FM,Corus Entertainment,hot adult contemporary,44.37111,-79.67694,93 1 Fresh Radio,100,kW,93.1 FM,Barrie,7,1,hot adult contemporary
18,CFJB-FM,Rock 95 Broadcasting,active rock,44.37111,-79.67694,Rock 95,100,kW,95.7 FM,Barrie,7,1,active rock
19,CKEY-FM,Douglas George Edwards,tourist information,44.37111,-79.67694,Tourism Radio,50,w,98.5 FM,Barrie,7,1,tourist information
20,CJLF-FM,Trust Communications,Christian radio,44.37111,-79.67694,Life 100.3,32.8,kW,100.3 FM,Barrie,7,1,christian radio
21,CIQB-FM,Corus Entertainment,classic rock,44.37111,-79.67694,101.1 Big FM,7.5,kW,101.1 FM,Barrie,7,1,classic rock
22,CFRH-FM-1,Radio Huronie,community radio (French),44.37111,-79.67694,CFRH,175,w,106.7 FM,Barrie,7,1,community radio
23,CKMB-FM,Rock 95 Broadcasting,hot adult contemporary,44.37111,-79.67694,107 5 Kool FM,50,kW,107.5 FM,Barrie,7,1,hot adult contemporary
24,CHBY-FM,Vista Broadcast Group,adult contemporary,45.483,-77.683,106 5 Moose FM,12,kW,106.5 FM,Barry's Bay,1,1,adult contemporary
25,CBLE,CBC Radio One,public news/talk,50.0,-86.733,CBC Radio One,40,w,1240 AM,Beardmore,2,1,public news/talk
26,CFNO-FM-3,Dougall Media,adult contemporary,50.0,-86.733,CFNO,260,w,107.1 FM,Beardmore,2,1,adult contemporary
27,CFBL-FM,Wawatay,First Nations community radio,53.92472,-90.96944,WRN,1,w,90.1 FM,Bearskin Lake,2,1,first nations community radio
28,CIDE-FM-1,Wawatay,First Nations community radio,53.92472,-90.96944,Wahsa,10,w,91.9 FM,Bearskin Lake,2,1,first nations community radio
29,CJBQ,Quinte Broadcasting,full service/variety,44.167,-77.383,800 CJBQ,10,kW,800 AM,Belleville,8,1,full service/variety
30,CJLX-FM,Loyalist College,campus radio,44.167,-77.383,91X,3.2,kW,91.3 FM,Belleville,8,1,campus radio
31,CJBC-1-FM,Ici Radio-Canada Première,public news/talk (French),44.167,-77.383,IRC Première,42.28,kW,94.3 FM,Belleville,8,1,public news/talk
32,CJOJ-FM,Starboard Communications,classic hits,44.167,-77.383,95 5 Hits FM,35,kW,95.5 FM,Belleville,8,1,classic hits
33,CIGL-FM,Quinte Broadcasting,hot adult contemporary,44.167,-77.383,Mix 97,50,kW,97.1 FM,Belleville,8,1,hot adult contemporary
34,CHCQ-FM,Starboard Communications,country,44.167,-77.383,Cool 100,32,kW,100.1 FM,Belleville,8,1,country
35,CKJJ-FM,United Christian Broadcasters Canada,Christian radio,44.167,-77.383,UCB Canada,15,kW,102.3 FM,Belleville,8,1,christian radio
36,CBO-FM-1,CBC Radio One,public news/talk,44.167,-77.383,CBC Radio One,10,kW,104.7 FM,Belleville,8,1,public news/talk
37,CIDE-FM-2,Wawatay,First Nations community radio,53.817,-89.933,Wahsa,10,w,91.9 FM,Big Trout Lake,2,1,first nations community radio
38,CFTL-FM,Ayamowin Communications Society,First Nations community radio,53.817,-89.933,CBC Radio One CORB,63,w,100.3 FM,Big Trout Lake,2,1,first nations community radio
39,CBON-FM-6,Ici Radio-Canada Première,public news/talk (French),46.183,-82.95,IRC Première,136,w,98.5 FM,Blind River,1,1,public news/talk
40,CIBU-FM-1,Blackburn Radio,active rock,43.45,-81.6,Classic Rock 94 5,6,kW,91.7 FM,Bluewater,1,1,active rock
41,CJFB-FM,Vista Broadcast Group,community radio,43.88056,-79.73806,Moose FM,50,w,102.7 FM,Bolton,2,1,community radio
42,CJFB-FM,Vista Broadcast Group,community radio,43.88056,-79.73806,Moose FM,1.1,kW,102.7 FM,Bolton,2,1,community radio
43,CFBG-FM,Vista Broadcast Group,hot adult contemporary,45.033,-79.3,99 5 The Moose,12,kW,99.5 FM,Bracebridge,1,1,hot adult contemporary
44,CFNY-FM,Corus Entertainment,modern rock,43.683,-79.767,102.1 The Edge,35.4,kW,102.1 FM,Brampton,1,1,modern rock
45,CKPC,Evanov Communications,full service/variety,43.167,-80.25,1380 CKPC,25,kW,1380 AM,Brantford,3,1,full service/variety
46,CKPC-FM,Evanov Communications,adult contemporary,43.167,-80.25,Jewel 92,80,kW,92.1 FM,Brantford,3,1,adult contemporary
47,CFWC-FM,Sound of Faith Broadcasting,Christian radio,43.167,-80.25,Arise Brantford,250,w,93.9 FM,Brantford,3,1,christian radio
48,CIYM-FM,My Broadcasting Corporation,adult contemporary,44.12222,-77.76417,Oldies 100.9,316,w,100.9 FM,Brighton,1,1,adult contemporary
49,CBEZ-FM,CBC Radio One,public news/talk,45.783,-80.533,CBC Radio One,49,w,107.7 FM,Britt,1,1,public news/talk
50,CBOB-FM,CBC Radio One,public news/talk,44.583,-75.683,CBC Radio One,1.571,kW,91.9 FM,Brockville,5,1,public news/talk
51,CKJJ-FM-2,United Christian Broadcasters Canada,Christian radio,44.583,-75.683,UCB Canada,50,w,99.9 FM,Brockville,5,1,christian radio
52,CBOF-FM-7,Ici Radio-Canada Première,public news/talk (French),44.583,-75.683,IRC Première,1.495,kW,102.1 FM,Brockville,5,1,public news/talk
53,CJPT-FM,Bell Media Radio,adult hits,44.583,-75.683,103 7 Bob FM,100,kW,103.7 FM,Brockville,5,1,adult hits
54,CFJR-FM,Bell Media Radio,adult contemporary,44.583,-75.683,104 9 JR FM,7.7,kW,104.9 FM,Brockville,5,1,adult contemporary
55,CBPS-FM,CBC/Weatheradio Canada,weather alerts,44.94536,-81.27686,Weatheradio,50,w,90.7 FM,Bruce Peninsula,1,1,weather alerts
56,CJXY-FM,Corus Entertainment,active rock,43.317,-79.8,Y108,26.1,kW,107.9 FM,Burlington,1,1,active rock
57,CHTG-FM,Durham Radio Inc.,classic hits,43.067,-79.95,92 9 The Grand,10,kW,92.9 FM,Caledonia,1,1,classic hits
58,CJDV-FM,Corus Entertainment,active rock,43.39722,-80.31139,107 5 Dave Rocks,6,kW,107.5 FM,Cambridge,1,1,active rock
59,CKOL-FM,Campbellford Area Radio Association,community radio,44.3,-77.8,CKOL,500,w,93.7 FM,Campbellford,1,1,community radio
60,CJPS-FM,Wawatay,First Nations community radio,51.72778,-91.82861,WRN,10,w,89.9 FM,Cat Lake,2,1,first nations community radio
61,CIDE-FM-3,Wawatay,First Nations community radio,51.72778,-91.82861,Wahsa,10,w,91.9 FM,Cat Lake,2,1,first nations community radio
62,CICW-FM,Centre Wellington Community Radio,community radio,43.7,-80.367,The Grand at 101,2.25,kW,101.1 FM,Centre Wellington,1,1,community radio
63,CBCU-FM,CBC Radio One,public news/talk,47.833,-83.4,CBC Radio One,345,w,89.9 FM,Chapleau,4,1,public news/talk
64,CBON-FM-28,Ici Radio-Canada Première,public news/talk (French),47.833,-83.4,IRC Première,345,w,91.9 FM,Chapleau,4,1,public news/talk
65,CHAP-FM,Formation Plus,community-owned rebroadcaster of CHYC-FM Sudbury,47.833,-83.4,Le Loup 98.9,40,w,95.9 FM,Chapleau,4,1,community-owned rebroadcaster of chyc-fm sudbury
66,CJWA-FM-1,Labbe Media,adult contemporary,47.833,-83.4,Jjam FM,111,w,100.7 FM,Chapleau,4,1,adult contemporary
67,CFCO,Blackburn Radio,country,42.4,-82.18333,CFCO,10/6,kW,630 AM,Chatham,6,1,country
68,CBEE-FM,CBC Radio One,public news/talk,42.4,-82.18333,CBC Radio One,1.43,kW,88.1 FM,Chatham,6,1,public news/talk
69,CKGW-FM,United Christian Broadcasters Canada,Christian radio,42.4,-82.18333,UCB Canada,18.7,kW,89.3 FM,Chatham,6,1,christian radio
70,CFCO-1-FM,Blackburn Radio,country,42.4,-82.18333,CFCO,250,w,92.9 FM,Chatham,6,1,country
71,CKSY-FM,Blackburn Radio,hot adult contemporary,42.4,-82.18333,94 3 CKSY,50,kW,94.3 FM,Chatham,6,1,hot adult contemporary
72,CKUE-FM,Blackburn Radio,classic hits,42.4,-82.18333,Cool FM,42,kW,95.1 FM,Chatham,6,1,classic hits
73,CKUN-FM,Chimnissing Communications,First Nations community radio,44.833,-80.2,Nish 101.3,900,w,101.3 FM,Christian Island,1,1,first nations community radio
74,CHRC-FM,Evanov Communications,adult contemporary,45.483,-75.2,Jewel 92 5,333,w,92.5 FM,Clarence-Rockland,1,1,adult contemporary
75,CHJJ-FM,United Christian Broadcasters Canada,Christian radio,43.967,-78.167,UCB Canada,250,w,90.7 FM,Cobourg,4,1,christian radio
76,CKSG-FM,My Broadcasting Corporation,hot adult contemporary,43.967,-78.167,my FM,15.5,kW,93.3 FM,Cobourg,4,1,hot adult contemporary
77,CFMX-FM,ZoomerMedia,classical,43.967,-78.167,Classical FM,86.7,kW,103.1 FM,Cobourg,4,1,classical
78,CHUC-FM,My Broadcasting Corporation,classic hits,43.967,-78.167,Classic Rock 107.9,20,kW,107.9 FM,Cobourg,4,1,classic hits
79,CHPB-FM,Vista Broadcast Group,adult contemporary,49.067,-81.017,Moose 98.1,50,w,98.1 FM,Cochrane,2,1,adult contemporary
80,CFCJ-FM,Cochrane Christian Radio,Christian radio,49.067,-81.017,CFCJ,37,w,102.1 FM,Cochrane,2,1,christian radio
81,CKCB-FM,Corus Entertainment,adult contemporary,44.5,-80.217,95 1 The Peak,350,w,95.1 FM,Collingwood,2,1,adult contemporary
82,CFMO-FM,ZoomerMedia,pop standards,44.5,-80.217,Classical FM,23,kW,102.9 FM,Collingwood,2,1,pop standards
83,CKID-FM,Wawatay,First Nations community radio,49.805,-84.13472,WRN,10,w,89.9 FM,Constance Lake,1,1,first nations community radio
84,CHRI-FM-1,Christian Hit Radio Inc.,Christian radio,45.0275,-74.74,CHRI,50,w,88.1 FM,Cornwall,6,1,christian radio
85,CHOD-FM,Radio communautaire Cornwall-Alexandria,community radio (French),45.0275,-74.74,FM 92.1,45.6,kW,92.1 FM,Cornwall,6,1,community radio
86,CBOC-FM,CBC Radio One,public news/talk,45.0275,-74.74,CBC Radio One,3,kW,95.5 FM,Cornwall,6,1,public news/talk
87,CBOF-FM-6,Ici Radio-Canada Première,public news/talk (French),45.0275,-74.74,IRC Première,3,kW,98.1 FM,Cornwall,6,1,public news/talk
88,CJSS-FM,Corus Entertainment,classic hits,45.0275,-74.74,boom 101 9,3.2,kW,101.9 FM,Cornwall,6,1,classic hits
89,CFLG-FM,Corus Entertainment,adult contemporary,45.0275,-74.74,104 5 Fresh Radio,28.24,kW,104.5 FM,Cornwall,6,1,adult contemporary
90,CBLA-FM-1,CBC Radio One,public news/talk,42.8675,-79.05917,CBC Radio One,740,w,90.5 FM,Crystal Beach,1,1,public news/talk
91,CBCD-FM-1,CBC Radio One,public news/talk,46.1,-77.4917,CBC Radio One,50,w,97.9 FM,Deep River,1,1,public news/talk
92,CKDL-FM,Wawatay,First Nations community radio,52.633,-94.083,WRN,1,w,90.1 FM,Deer Lake,2,1,first nations community radio
93,CIDE-FM-4,Wawatay,First Nations community radio,52.633,-94.083,Wahsa,10,w,91.9 FM,Deer Lake,2,1,first nations community radio
94,CKDR-FM,Acadia Broadcasting,adult contemporary,49.783,-92.833,CKDR,39,kW,92.7 FM,Dryden,4,1,adult contemporary
95,CBQH-FM,CBC Radio One,public news/talk,49.783,-92.833,CBC Radio One,1.3,kW,100.9 FM,Dryden,4,1,public news/talk
96,CKSB-6-FM,Ici Radio-Canada Première,public news/talk (French),49.783,-92.833,IRC Première,1.29,kW,102.7 FM,Dryden,4,1,public news/talk
97,CKQV-FM-1,Norwesto Communications,CHR,49.783,-92.833,Q104,1.9,kW,104.3 FM,Dryden,4,1,chr
98,CBON-FM-11,Ici Radio-Canada Première,public news/talk (French),48.35,-84.55,IRC Première,50,w,97.9 FM,Dubreuilville,1,1,public news/talk
99,CBOI-FM,CBC Radio One,public news/talk,50.633,-93.217,CBC Radio One,50,w,95.5 FM,Ear Falls,2,1,public news/talk
100,CKDR-FM-4,Northwoods Broadcasting,adult contemporary,50.633,-93.217,CKDR,50,w,97.5 FM,Ear Falls,2,1,adult contemporary
101,CBCG-FM,CBC Radio One,public news/talk,47.71056,-80.33944,CBC Radio One,116,w,89.7 FM,Elk Lake,1,1,public news/talk
102,CBEC-FM,CBC Radio One,public news/talk,46.383,-82.65,CBC Radio One,264,w,90.3 FM,Elliot Lake,5,1,public news/talk
103,CKNR-FM,Vista Broadcast Group,adult contemporary,46.383,-82.65,The Moose 94.1,90,kW,94.1 FM,Elliot Lake,5,1,adult contemporary
104,CKNR-FM-1,Vista Broadcast Group,adult contemporary,46.383,-82.65,The Moose 94.1,50,w,98.7 FM,Elliot Lake,5,1,adult contemporary
105,CBON-FM-5,Ici Radio-Canada Première,public news/talk (French),46.383,-82.65,IRC Première,2.64,kW,101.7 FM,Elliot Lake,5,1,public news/talk
106,CJTK-FM-3,Eternacom,Christian radio,46.383,-82.65,KFM,865,w,102.5 FM,Elliot Lake,5,1,christian radio
107,CJBB-FM,Boyd Woods,community radio,47.817,-79.867,The Train,2.94,kW,103.1 FM,Englehart,2,1,community radio
108,CJTK-FM-7,Eternacom,Christian radio,47.817,-79.867,KFM,3.3,kW,105.7 FM,Englehart,2,1,christian radio
109,CHES-FM,Erin Radio,community radio,43.767,-80.067,Erin Radio,2.5,kW,91.7 FM,Erin,1,1,community radio
110,CBON-FM-7,Ici Radio-Canada Première,public news/talk (French),46.25,-81.767,IRC Première,520,w,94.9 FM,Espanola,2,1,public news/talk
111,CJJM-FM,Vista Broadcast Group,adult hits,46.25,-81.767,The Moose 99.3,1.41,kW,99.3 FM,Espanola,2,1,adult hits
112,CKXM-FM,My Broadcasting Corporation,adult contemporary,43.35,-81.483,my FM,2.95,kW,90.5 FM,Exeter,1,1,adult contemporary
113,CBLF,CBC Radio One,public news/talk,48.24389,-82.43972,CBC Radio One,40,w,1450 AM,Foleyet,1,1,public news/talk
114,CKFA-FM,Wawatay,First Nations community radio,52.333,-81.767,WRN,10,w,90.1 FM,Fort Albany,2,1,first nations community radio
115,CBCI-FM,CBC Radio One,public news/talk,52.333,-81.767,CBC Radio One,2.4,kW,102.3 FM,Fort Albany,2,1,public news/talk
116,CFLZ-FM,Brynes communications,Oldies,42.917,-79.017,101.1 More FM,50,kW,101.1 FM,Fort Erie,1,1,oldies
117,CKSB-9-FM,Ici Radio-Canada Première,public news/talk (French),48.617,-93.4,IRC Première,12.17,kW,89.1 FM,Fort Frances,3,1,public news/talk
118,CBQQ-FM,CBC Radio One,public news/talk,48.617,-93.4,CBC Radio One,23.55,kW,90.5 FM,Fort Frances,3,1,public news/talk
119,CFOB-FM,Acadia Broadcasting,hot adult contemporary,48.617,-93.4,93 1 The Border,21,kW,93.1 FM,Fort Frances,3,1,hot adult contemporary
120,CBCF-FM,CBC Radio One,public news/talk,51.55,-87.9,CBC Radio One,60,w,101.5 FM,Fort Hope,1,1,public news/talk
121,CKFS-FM,Wawatay,First Nations community radio,55.983,-87.633,WRN,1,w,90.1 FM,Fort Severn,2,1,first nations community radio
122,CIDE-FM-5,Wawatay,First Nations community radio,55.983,-87.633,Wahsa,10,w,91.9 FM,Fort Severn,2,1,first nations community radio
123,CJGM-FM,My Broadcasting Corporation,adult contemporary,44.33,-76.17,my FM,4.47,kW,99.9 FM,Gananoque,1,1,adult contemporary
124,CFGI-FM,Georgina Island First Nations Communications,First Nations community radio,44.333,-79.283,NISH Radio,650,w,92.3 FM,Georgina Island,1,1,first nations community radio
125,CBLG-FM,CBC Radio One,public news/talk,50.0,-86.733,CBC Radio One,25.123,kW,89.1 FM,Geraldton,3,1,public news/talk
126,CBON-FM-22,Ici Radio-Canada Première,public news/talk (French),50.0,-86.733,IRC Première,9.216,kW,93.7 FM,Geraldton,3,1,public news/talk
127,CFNO-FM-4,Dougall Media,adult contemporary,50.0,-86.733,CFNO,130,w,100.7 FM,Geraldton,3,1,adult contemporary
128,CIYN-FM-1,My Broadcasting Corporation,classic hits,43.733,-81.7,my FM,750,w,99.7 FM,Goderich,2,1,classic hits
129,CHWC-FM,Bayshore Broadcasting,country,43.733,-81.7,Country 104.9,12.55,kW,104.9 FM,Goderich,2,1,country
130,CBON-FM-21,Ici Radio-Canada Première,public news/talk (French),47.667,-81.717,IRC Première,5.031,kW,104.9 FM,Gogama,1,1,public news/talk
131,CIIG-FM,Instant Information Services,tourist information,44.917,-79.367,Information Radio,50,w,98.3 FM,Gravenhurst,1,1,tourist information
132,CJMU-FM,Bayshore Broadcasting,country,44.917,-79.367,Country 102,23,kW,102.3 FM,Gravenhurst/Bracebridge,1,1,country
133,CBBS-FM,CBC Music,public music,46.49,-81.01,CBC Music,50,kW,90.1 FM,Greater Sudbury,13,1,public music
134,CBBX-FM,Ici Musique,public music (French),46.49,-81.01,Ici musique,50,kW,90.9 FM,Greater Sudbury,13,1,public music
135,CICS-FM,Bell Media Radio,country,46.49,-81.01,Pure Country 91 7,50,kW,91.7 FM,Greater Sudbury,13,1,country
136,CJRQ-FM,Rogers Communications,active rock,46.49,-81.01,92 7 Rock,100,kW,92.7 FM,Greater Sudbury,13,1,active rock
137,CIGM-FM,Stingray Digital,CHR,46.49,-81.01,Hot 93 5,100,kW,93.5 FM,Greater Sudbury,13,1,chr
138,CJTK-FM,Eternacom,Christian radio,46.49,-81.01,KFM,8.1,kW,95.5 FM,Greater Sudbury,13,1,christian radio
139,CKLU-FM,Laurentian University,campus radio,46.49,-81.01,CKLU,2,kW,96.7 FM,Greater Sudbury,13,1,campus radio
140,CBON-FM,Ici Radio-Canada Première,public news/talk (French),46.49,-81.01,IRC Première,50,kW,98.1 FM,Greater Sudbury,13,1,public news/talk
141,CHYC-FM,Le5 Communications,hot adult contemporary (French),46.49,-81.01,Le Loup 98.9,3.82,kW,98.9 FM,Greater Sudbury,13,1,hot adult contemporary
142,CBCS-FM,CBC Radio One,public news/talk,46.49,-81.01,CBC Radio One,50,kW,99.9 FM,Greater Sudbury,13,1,public news/talk
143,CKJC-FM,1158556 Ontario Ltd. (Roger de Brabant),tourist information,46.49,-81.01,CHTI,50,w,101.7 FM,Greater Sudbury,13,1,tourist information
144,CHNO-FM,Stingray Digital,classic hits,46.49,-81.01,Rewind 103.9,100,kW,103.9 FM,Greater Sudbury,13,1,classic hits
145,CJMX-FM,Rogers Communications,hot adult contemporary,46.49,-81.01,Kiss 105.3,100,kW,105.3 FM,Greater Sudbury,13,1,hot adult contemporary
146,CJOY,Corus Entertainment,oldies,43.55,-80.25,CJOY,10,kW,1460 AM,Guelph,3,1,oldies
147,CFRU-FM,University of Guelph,campus radio,43.55,-80.25,CFRU 93.3 FM,250,w,93.3 FM,Guelph,3,1,campus radio
148,CIMJ-FM,Corus Entertainment,hot adult contemporary,43.55,-80.25,Magic 106,50,kW,106.1 FM,Guelph,3,1,hot adult contemporary
149,CBLY-FM,CBC Radio One,public news/talk,45.2,-78.417,CBC Radio One,50,w,92.3 FM,Haliburton,3,1,public news/talk
150,CFZN-FM,Vista Broadcast Group,adult hits,45.2,-78.417,93 5 Moose FM,6,kW,93.5 FM,Haliburton,3,1,adult hits
151,CKHA-FM,Haliburton County Radio Association,community radio,45.2,-78.417,100.9 Canoe FM,3.4,kW,100.9 FM,Haliburton,3,1,community radio
152,CHAM,Bell Media Radio,comedy,43.25667,-79.86917,Funny 820,50/10,kW,820 AM,Hamilton,8,1,comedy
153,CHML,Corus Entertainment,news/talk,43.25667,-79.86917,Global N. R. 900 CHML,50,kW,900 AM,Hamilton,8,1,news/talk
154,CKOC,Bell Media Radio,sports,43.25667,-79.86917,TSN 1150,50/20,kW,1150 AM,Hamilton,8,1,sports
155,CFMU-FM,McMaster University,campus radio,43.25667,-79.86917,CFMU,250,w,93.3 FM,Hamilton,8,1,campus radio
156,CHKX-FM,Durham Radio,country,43.25667,-79.86917,KX 94 7,100,kW,94.7 FM,Hamilton,8,1,country
157,CING-FM,Corus Entertainment,adult contemporary,43.25667,-79.86917,Energy 95 3,100,kW,95.3 FM,Hamilton,8,1,adult contemporary
158,CIOI-FM,Mohawk College,campus radio,43.25667,-79.86917,The Hawk,240,w,101.5 FM,Hamilton,8,1,campus radio
159,CKLH-FM,Bell Media Radio,adult contemporary,43.25667,-79.86917,102 9 K Lite,40.3,kW,102.9 FM,Hamilton,8,1,adult contemporary
160,CFBW-FM,Bluewater Radio,community radio,44.15,-81.033,BWR,250,w,91.3 FM,Hanover,1,1,community radio
161,CIMF-FM-1,Bell Media Radio,adult contemporary (French),45.6,-74.6,Rouge fm,1.25,kW,88.9 FM,Hawkesbury,3,1,adult contemporary
162,CHPR-FM,RNC Media,adult contemporary (French),45.6,-74.6,Wow 104.9 102.1,780,w,102.1 FM,Hawkesbury,3,1,adult contemporary
163,CKHK-FM,Evanov Communications,pop standards,45.6,-74.6,Jewel 107 7,1.1,kW,107.7 FM,Hawkesbury,3,1,pop standards
164,CBON-FM-26,Ici Radio-Canada Première,public news/talk (French),49.68694,-83.65444,IRC Première,8.34,kW,90.3 FM,Hearst,3,1,public news/talk
165,CINN-FM,Radio de l'Épinette Noire,community radio (French),49.68694,-83.65444,CINN FM,5.46,kW,91.1 FM,Hearst,3,1,community radio
166,CBCC-FM,CBC Radio One,public news/talk,49.68694,-83.65444,CBC Radio One,8.34,kW,91.9 FM,Hearst,3,1,public news/talk
167,CBQT-FM-1,CBC Radio One,public news/talk,49.217,-84.783,CBC Radio One,50,w,92.3 FM,Hornepayne,2,1,public news/talk
168,CFNO-FM-2,Dougall Media,adult contemporary,49.217,-84.783,CFNO,280,w,107.1 FM,Hornepayne,2,1,adult contemporary
169,CKAR-FM,Hunter's Bay Radio Inc.,community radio,45.333,-79.217,Hunters Bay Radio,5.7,kW,88.7 FM,Huntsville,5,1,community radio
170,CBLU-FM,CBC Radio One,public news/talk,45.333,-79.217,CBC Radio One,70,kW,94.3 FM,Huntsville,5,1,public news/talk
171,CJLF-FM-3,Trust Communications,Christian radio,45.333,-79.217,Life 100.3,750,w,98.9 FM,Huntsville,5,1,christian radio
172,CFBK-FM,Vista Broadcast Group,adult contemporary,45.333,-79.217,105 5 Moose FM,43.4,kW,105.5 FM,Huntsville,5,1,adult contemporary
173,CBL-FM-1,CBC Music,public music,45.333,-79.217,CBC Music,70,kW,106.9 FM,Huntsville,5,1,public music
174,CBES,CBC Radio One,public news/talk,49.417,-91.667,CBC Radio One,40,w,690 AM,Ignace,2,1,public news/talk
175,CKDR-FM-1,Northwoods Broadcasting,adult contemporary,49.417,-91.667,CKDR,50,w,97.5 FM,Ignace,2,1,adult contemporary
