,call sign,owner,format,lat,long,station name,power,p. unit,frequency,city of licence,n_stations,language,genre
357,CIDE-FM-12,Wawatay,First Nations community radio,51.8,-94.0,Wahsa,10,w,91.9 FM,Pikangikum,2,1,first nations community radio
358,CBQU-FM,CBC Radio One,public news/talk,51.8,-94.0,CBC Radio One,34,w,100.3 FM,Pikangikum,2,1,public news/talk
359,CJPP-FM,Parks Canada,tourist information,41.96417,-82.51778,Point Pelee National Park,50,w,90.7 FM,Point Pelee National Park,1,1,tourist information
360,CFBY-FM,Wawatay,First Nations community radio,52.1,-94.3,WRN,10,w,90.1 FM,Poplar Hill,2,1,first nations community radio
361,CIDE-FM-13,Wawatay,First Nations community radio,52.1,-94.3,Wahsa,10,w,91.9 FM,Poplar Hill,2,1,first nations community radio
362,CIYN-FM-2,My Broadcasting Corporation,classic hits,44.43389,-81.39278,my FM,3.1,kW,90.9 FM,Port Elgin,2,1,classic hits
363,CFPS-FM,Bayshore Broadcasting,adult contemporary,44.43389,-81.39278,98 The Beach,8.3,kW,97.9 FM,Port Elgin,2,1,adult contemporary
364,CFWN-FM,Small Town Radio (STR),community radio,43.95,-78.3,Northumberland 89 7,700,w,89.7 FM,Port Hope,1,1,community radio
365,CKPP-FM,Vista Broadcast Group,hot adult contemporary,44.717,-75.517,107 9 Coast FM,4.2,kW,107.9 FM,Prescott,1,1,hot adult contemporary
366,CJPE-FM,Prince Edward County Radio Corporation,community radio,44.0,-77.25,99.3 County FM,3,kW,99.3 FM,Prince Edward County,1,1,community radio
367,CJTN-FM,Quinte Broadcasting,classic rock,44.183,-77.567,Rock 107,15,kW,107.1 FM,Quinte West,1,1,classic rock
368,CBEA-FM,CBC Radio One,public news/talk,51.033,-93.833,CBC Radio One,82,w,90.5 FM,Red Lake,1,1,public news/talk
369,CHMY-FM,My Broadcasting Corporation,adult contemporary,45.47167,-76.68306,my FM,7.1,kW,96.1 FM,Renfrew,2,1,adult contemporary
370,CJHR-FM,Valley Heritage Radio,community radio,45.47167,-76.68306,Valley Heritage Radio,20,kW,98.7 FM,Renfrew,2,1,community radio
371,CFMJ,Corus Entertainment,news/talk/sports,43.867,-79.433,Global N. R. 640 Toronto,50,kW,640 AM,Richmond Hill,1,1,news/talk/sports
372,CBOF-4,Ici Radio-Canada Première,public news/talk (French),46.133,-77.55,IRC Première,40,w,1400 AM,Rolphton,1,1,public news/talk
373,CKTB,Bell Media Radio,news/talk,43.183,-79.233,610 CKTB,10/5,kW,610 AM,St. Catharines,5,1,news/talk
374,CFBN-FM,The St. Lawrence Seaway Management Corporation,tourist information,43.183,-79.233,St. Lawrence Seaway M. Co.,50,w,93.3 FM,St. Catharines,5,1,tourist information
375,CHTZ-FM,Bell Media Radio,active rock,43.183,-79.233,97 7 HITZ FM,50,kW,97.7 FM,St. Catharines,5,1,active rock
376,CFBU-FM,Brock University,campus radio,43.183,-79.233,CFBU,250,w,103.7 FM,St. Catharines,5,1,campus radio
377,CHRE-FM,Bell Media Radio,adult contemporary,43.183,-79.233,105.7 EZ Rock,50,kW,105.7 FM,St. Catharines,5,1,adult contemporary
378,VF8016,Faith Baptist Church of St. Thomas,Christian radio LPFM,42.775,-81.183,Faith Baptist Church,1,w,90.1 FM,St. Thomas,3,1,christian radio lpfm
379,CKZM-FM,My Broadcasting Corporation,adult contemporary,42.775,-81.183,my FM,4.37,kW,94.1 FM,St. Thomas,3,1,adult contemporary
380,CFHK-FM,Corus Entertainment,hot adult contemporary,42.775,-81.183,103 1 Fresh Radio,60,kW,103.1 FM,St. Thomas,3,1,hot adult contemporary
381,CFEY-FM,Wawatay,First Nations community radio,53.86861,-92.17306,WRN,1,w,90.1 FM,Sachigo Lake,2,1,first nations community radio
382,CIDE-FM-14,Wawatay,First Nations community radio,53.86861,-92.17306,Wahsa,10,w,91.9 FM,Sachigo Lake,2,1,first nations community radio
383,CIDE-FM-15,Wawatay,First Nations community radio,53.067,-93.333,Wahsa,10,w,91.9 FM,Sandy Lake,2,1,first nations community radio
384,CBQV-FM,CBC Radio One,public news/talk,53.067,-93.333,CBC Radio One,37,w,101.1 FM,Sandy Lake,2,1,public news/talk
385,CHOK,Blackburn Radio,full service/variety,42.99944,-82.30889,CHOK,10,kW,1070 AM,Sarnia,6,1,full service/variety
386,CBEG-FM,CBC Radio One,public news/talk,42.99944,-82.30889,CBC Radio One,1.8,kW,90.3 FM,Sarnia,6,1,public news/talk
387,CFGX-FM,Blackburn Radio,adult contemporary,42.99944,-82.30889,99.9 The Fox,26,kW,99.9 FM,Sarnia,6,1,adult contemporary
388,CBEF-3-FM,Ici Radio-Canada Première,public news/talk (French),42.99944,-82.30889,IRC Première,1.886,kW,101.5 FM,Sarnia,6,1,public news/talk
389,CHOK-1-FM,Blackburn Radio,full service/variety,42.99944,-82.30889,CHOK,200,w,103.9 FM,Sarnia,6,1,full service/variety
390,CHKS-FM,Blackburn Radio,classic hits,42.99944,-82.30889,Cool 106.3,50,kW,106.3 FM,Sarnia,6,1,classic hits
391,CBON-FM-18,Ici Radio-Canada Première,public news/talk (French),46.533,-84.35,IRC Première,3.59,kW,88.1 FM,Sault Ste. Marie,5,1,public news/talk
392,CBSM-FM,CBC Radio One,public news/talk,46.533,-84.35,CBC Radio One,46,kW,89.5 FM,Sault Ste. Marie,5,1,public news/talk
393,CHAS-FM,Rogers Communications,hot adult contemporary,46.533,-84.35,Kiss 100.5,13.9,kW,100.5 FM,Sault Ste. Marie,5,1,hot adult contemporary
394,CJQM-FM,Rogers Communications,country,46.533,-84.35,Country 104.3,100,kW,104.3 FM,Sault Ste. Marie,5,1,country
395,CJTK-FM-8,Eternacom,Christian radio,46.533,-84.35,KFM,2.2,kW,106.5 FM,Sault Ste. Marie,5,1,christian radio
396,CBQL-FM,CBC Radio One,public news/talk,50.23861,-90.70861,CBC Radio One,135,w,104.9 FM,Savant Lake,1,1,public news/talk
397,CJRK-FM,8041393 Canada Inc.,multilingual,43.7737,-79.2446,East FM,1.2,kW,102.7 FM,Scarborough,1,1,multilingual
398,CBLB-FM,CBC Radio One,public news/talk,48.817,-87.267,CBC Radio One,130,w,90.9 FM,Schreiber,1,1,public news/talk
399,CHIX-FM,Wawatay,First Nations community radio,48.72398,-92.42558,WRN,10,w,89.9 FM,Seine River,1,1,first nations community radio
400,CBLA-FM-4,CBC Radio One,public news/talk,44.083,-80.2,CBC Radio One,6,kW,102.5 FM,Shelburne,2,1,public news/talk
401,CFDC-FM,Bayshore Broadcasting,country,44.083,-80.2,Country 105,36.2,kW,104.9 FM,Shelburne,2,1,country
402,CKED-FM,Northwest Broadcasting,hot adult contemporary,48.583,-88.833,Energy 103 104,10,w,103.5 FM,Shuniah,1,1,hot adult contemporary
403,CHCD-FM,My Broadcasting Corporation,adult contemporary,42.83333,-80.3,my FM,50,kW,98.9 FM,Simcoe,2,1,adult contemporary
404,CKNC-FM,My Broadcasting Corporation,oldies,42.83333,-80.3,Oldies 99.7,18,kW,99.7 FM,Simcoe,2,1,oldies
405,CKWT-FM,Wawatay,First Nations community radio,50.1,-91.917,WRN,224,w,89.9 FM,Sioux Lookout,4,1,first nations community radio
406,CIDE-FM,Wawatay,First Nations community radio,50.1,-91.917,Wahsa,10,w,91.9 FM,Sioux Lookout,4,1,first nations community radio
407,CBLS-FM,CBC Radio One,public news/talk,50.1,-91.917,CBC Radio One,500,w,95.3 FM,Sioux Lookout,4,1,public news/talk
408,CKQV-FM-3,Norwesto Communications,CHR,50.1,-91.917,Q104,49,w,104.1 FM,Sioux Lookout,4,1,chr
409,CBQS-FM,CBC Radio One,public news/talk,49.4,-94.08,CBC Radio One,1.3,kW,95.7 FM,Sioux Narrows,1,1,public news/talk
410,CHBJ-FM,Wawatay,First Nations community radio,51.167,-91.583,WRN,10,w,90.1 FM,Slate Falls,2,1,first nations community radio
411,CIDE-FM-16,Wawatay,First Nations community radio,51.167,-91.583,Wahsa,10,w,91.9 FM,Slate Falls,2,1,first nations community radio
412,CJET-FM,Rogers Communications,adult hits,44.9,-76.017,Jack 92 3,17,kW,92.3 FM,Smiths Falls,2,1,adult hits
413,CKBY-FM,Rogers Communications,country,44.9,-76.017,Country 101 1,100,kW,101.1 FM,Smiths Falls,2,1,country
414,CKGN-FM-1,Radio communautaire KapNord,community radio (French),49.283,-81.633,CKGN,250,w,94.7 FM,Smooth Rock Falls,1,1,community radio
415,CJTK-FM-10,Eternacom,Christian radio,45.717,-82.2,KFM,530,w,104.9 FM,Spring Bay,1,1,christian radio
416,CJAI-FM,Amherst Island Public Radio,community radio,44.15,-76.72,CJAI,250,w,92.1 FM,Stella,1,1,community radio
417,CJCS-FM,Vista Broadcast Group,oldies,43.37083,-80.98194,107 1  Juice FM,4,kW,107.1 FM,Stratford,2,1,oldies
418,CHGK-FM,Vista Broadcast Group,adult contemporary,43.37083,-80.98194,107 7 2Day FM,6,kW,107.7 FM,Stratford,2,1,adult contemporary
419,CJMI-FM,My Broadcasting Corporation,adult contemporary,42.9575,-81.61667,my FM,1.75,kW,105.7 FM,Strathroy,1,1,adult contemporary
420,CHYQ-FM,Le5 Communications,hot adult contemporary (French),46.367,-79.917,Le Loup 97.1,6.5,kW,97.1 FM,Sturgeon Falls,2,1,hot adult contemporary
421,CFSF-FM,Vista Broadcast Group,adult contemporary,46.367,-79.917,99 3 The Moose,1.35,kW,99.3 FM,Sturgeon Falls,2,1,adult contemporary
422,CJKX-FM-1,Durham Radio,country,44.26361,-79.06556,KX 96,5,kW,89.9 FM,Sunderland,1,1,country
423,CJTK-FM-9,Eternacom,Christian radio,45.767,-79.4,KFM,540,w,98.3 FM,Sundridge,1,1,christian radio
424,CJTI-FM,1158556 Ontario Ltd. (Roger de Brabant),tourist information,47.067,-79.783,CHTI,1,w,92.1 FM,Temagami,2,1,tourist information
425,CBCS-FM-1,CBC Radio One,public news/talk,47.067,-79.783,CBC Radio One,50,w,106.1 FM,Temagami,2,1,public news/talk
426,CBON-FM-2,Ici Radio-Canada Première,public news/talk (French),47.517,-79.683,IRC Première,780,w,99.7 FM,Temiskaming Shores,3,1,public news/talk
427,CBCY-FM,CBC Radio One,public news/talk,47.517,-79.683,CBC Radio One,780,w,102.3 FM,Temiskaming Shores,3,1,public news/talk
428,CJTT-FM,Connelly Communications,adult contemporary,47.517,-79.683,CJTT FM,10,kW,104.5 FM,Temiskaming Shores,3,1,adult contemporary
429,CKBK-FM,Lenape Community Radio Society,First Nations community radio,42.55167,-81.97722,The Buck,50,w,104.3 FM,Thamesville,1,1,first nations community radio
430,CBQT-FM,CBC Radio One,public news/talk,48.38222,-89.24611,CBC Radio One,23.73,kW,88.3 FM,Thunder Bay,12,1,public news/talk
431,CBON-FM-20,Ici Radio-Canada Première,public news/talk (French),48.38222,-89.24611,IRC Première,16.5,kW,89.3 FM,Thunder Bay,12,1,public news/talk
432,CKSI-FM,Thunder Bay Information Radio,tourist information,48.38222,-89.24611,T. B. Information Radio,50,w,90.5 FM,Thunder Bay,12,1,tourist information
433,CKPR-FM,Dougall Media,adult contemporary,48.38222,-89.24611,91 5 CKPR,100,kW,91.5 FM,Thunder Bay,12,1,adult contemporary
434,CJSD-FM,Dougall Media,active rock,48.38222,-89.24611,Rock 94,93,kW,94.3 FM,Thunder Bay,12,1,active rock
435,CJOA-FM,St. Joseph's Care Group,Christian radio,48.38222,-89.24611,UCB Canada,250,w,95.1 FM,Thunder Bay,12,1,christian radio
436,CITB-FM,Superior Info Radio,tourist information,48.38222,-89.24611,Superior Information Radio,8,w,97.1 FM,Thunder Bay,12,1,tourist information
437,CJTL-FM-1,Native Evangelical Fellowship of Canada,First Nations community radio,48.38222,-89.24611,CJTL,50,w,98.1 FM,Thunder Bay,12,1,first nations community radio
438,CJUK-FM,Acadia Broadcasting,adult contemporary,48.38222,-89.24611,99 9 The Bay,250,w,99.9 FM,Thunder Bay,12,1,adult contemporary
439,CBQ-FM,CBC Music,public music,48.38222,-89.24611,CBC Music,25,kW,101.7 FM,Thunder Bay,12,1,public music
440,CILU-FM,Lakehead University,campus radio,48.38222,-89.24611,LU Radio,134,w,102.7 FM,Thunder Bay,12,1,campus radio
441,CKTG-FM,Acadia Broadcasting,country,48.38222,-89.24611,Country 105,100,kW,105.3 FM,Thunder Bay,12,1,country
442,CBCL-FM-1,CBC Radio One,public news/talk,42.86667,-80.73333,CBC Radio One,1.28,kW,88.7 FM,Tillsonburg,3,1,public news/talk
443,CKOT-FM,Tillsonburg Broadcasting,adult contemporary,42.86667,-80.73333,Easy 101 3,26,kW,101.3 FM,Tillsonburg,3,1,adult contemporary
444,CJDL-FM,Tillsonburg Broadcasting,country,42.86667,-80.73333,Country 107.3,7.8,kW,107.3 FM,Tillsonburg,3,1,country
445,CJQQ-FM,Rogers Communications,active rock,48.467,-81.333,92 1 Rock,40,kW,92.1 FM,Timmins,8,1,active rock
446,CHMT-FM,Vista Broadcast Group,adult hits,48.467,-81.333,93 1 Moose FM,16.4,kW,93.1 FM,Timmins,8,1,adult hits
447,CBCJ-FM,CBC Radio One,public news/talk,48.467,-81.333,CBC Radio One,11,kW,96.1 FM,Timmins,8,1,public news/talk
448,CBON-FM-25,Ici Radio-Canada Première,public news/talk (French),48.467,-81.333,IRC Première,11,kW,97.1 FM,Timmins,8,1,public news/talk
449,CKGB-FM,Rogers Communications,hot adult contemporary,48.467,-81.333,Kiss 99.3,40,kW,99.3 FM,Timmins,8,1,hot adult contemporary
450,CHYK-FM,Le5 Communications,hot adult contemporary (French),48.467,-81.333,Le Loup 104.1,2.8,kW,104.1 FM,Timmins,8,1,hot adult contemporary
451,CJTK-FM-5,Eternacom,Christian radio,48.467,-81.333,KFM,1.4,kW,105.5 FM,Timmins,8,1,christian radio
452,CJWT-FM,Wawatay,First Nations community radio,48.467,-81.333,WRN,50,w,106.7 FM,Timmins,8,1,first nations community radio
453,CJCL,Rogers Communications,sports,43.74167,-79.37333,Sportsnet 590 The Fan,50,kW,590 AM,Toronto,36,1,sports
454,CFTR,Rogers Communications,news,43.74167,-79.37333,680 News,50,kW,680 AM,Toronto,36,1,news
455,CFZM,ZoomerMedia,pop standards,43.74167,-79.37333,Zoomer Radio,50,kW,740 AM,Toronto,36,1,pop standards
456,CJBC,Ici Radio-Canada Première,public news/talk (French),43.74167,-79.37333,IRC Première,50,kW,860 AM,Toronto,36,1,public news/talk
457,CFRB,Bell Media Radio,news/talk,43.74167,-79.37333,NewsTalk 1010,50,kW,1010 AM,Toronto,36,1,news/talk
458,CHUM,Bell Media Radio,sports,43.74167,-79.37333,TSN 1050,50,kW,1050 AM,Toronto,36,1,sports
459,CJRU,Ryerson University,campus radio,43.74167,-79.37333,The Scope,99,w,1280 AM,Toronto,36,1,campus radio
460,CHKT,Fairchild Radio,multilingual,43.74167,-79.37333,AM 1430,50,kW,1430 AM,Toronto,36,1,multilingual
461,CHIN,CHIN Radio/TV International,multilingual,43.74167,-79.37333,CHIN,50/30,kW,1540 AM,Toronto,36,1,multilingual
462,CHHA,San Lorenzo Latin American Community Centre,community radio (Spanish),43.74167,-79.37333,CHHA 1610,6.25,kW,1610 AM,Toronto,36,1,community radio
463,CHTO,Canadian Hellenic Toronto Radio,multilingual,43.74167,-79.37333,CHTO AM,6/1,kW,1690 AM,Toronto,36,1,multilingual
464,CIND-FM,Rock 95 Broadcasting,indie rock,43.74167,-79.37333,Indie 88,12,kW,88.1 FM,Toronto,36,1,indie rock
465,CIRV-FM,Frank Alvarez,multilingual,43.74167,-79.37333,Red FM,4.18,kW,88.9 FM,Toronto,36,1,multilingual
466,CIUT-FM,University of Toronto,campus radio,43.74167,-79.37333,CIUT,15,kW,89.5 FM,Toronto,36,1,campus radio
467,CJBC-FM,Ici Musique,public music (French),43.74167,-79.37333,Ici musique,10,kW,90.3 FM,Toronto,36,1,public music
468,CJRT-FM,CJRT-FM Inc.,jazz,43.74167,-79.37333,Jazz FM 91,40,kW,91.1 FM,Toronto,36,1,jazz
469,CHIN-1-FM,CHIN Radio/TV International,multilingual,43.74167,-79.37333,CHIN,5,kW,91.9 FM,Toronto,36,1,multilingual
470,CKIS-FM,Rogers Communications,CHR,43.74167,-79.37333,Kiss 92 5,13,kW,92.5 FM,Toronto,36,1,chr
471,CFXJ-FM,Stingray Digital,Rhythmic contemporary,43.74167,-79.37333,Flow 93 5,3.706,kW,93.5 FM,Toronto,36,1,rhythmic contemporary
472,CBL-FM,CBC Music,public music,43.74167,-79.37333,CBC Music,38,kW,94.1 FM,Toronto,36,1,public music
473,CJKX-FM-2,Durham Radio,country,43.74167,-79.37333,KX 96,220,w,95.9 FM,Toronto,36,1,country
474,CFMZ-FM,ZoomerMedia,classical,43.74167,-79.37333,Classical FM,60,kW,96.3 FM,Toronto,36,1,classical
475,CKHC-FM,Humber College,campus radio,43.74167,-79.37333,Radio Humber,60,w,96.9 FM,Toronto,36,1,campus radio
476,CHBM-FM,Stingray Digital,classic hits,43.74167,-79.37333,boom 97 3,28.9,kW,97.3 FM,Toronto,36,1,classic hits
477,CHFI-FM,Rogers Communications,soft adult contemporary,43.74167,-79.37333,98.1 CHFI,44,kW,98.1 FM,Toronto,36,1,soft adult contemporary
478,CKFG-FM,Intercity Broadcasting Network,multilingual,43.74167,-79.37333,G98 7,1,kW,98.7 FM,Toronto,36,1,multilingual
479,CBLA-FM,CBC Radio One,public news/talk,43.74167,-79.37333,CBC Radio One,98,kW,99.1 FM,Toronto,36,1,public news/talk
480,CKFM-FM,Bell Media Radio,CHR,43.74167,-79.37333,99 9 Virgin Radio,40,kW,99.9 FM,Toronto,36,1,chr
481,CHIN-FM,CHIN Radio/TV International,multilingual,43.74167,-79.37333,CHIN,8.5,kW,100.7 FM,Toronto,36,1,multilingual
482,CJSA-FM,Diversity Media Group,multilingual,43.74167,-79.37333,CMR,850,w,101.3 FM,Toronto,36,1,multilingual
483,CIRR-FM,Evanov Communications,LGBT-targeted CHR,43.74167,-79.37333,Proud FM,225,w,103.9 FM,Toronto,36,1,lgbt-targeted chr
484,CHUM-FM,Bell Media Radio,hot adult contemporary,43.74167,-79.37333,CHUM 104 5,40,kW,104.5 FM,Toronto,36,1,hot adult contemporary
485,CHOQ-FM,Cooperative Radio-Toronto,community radio (French),43.74167,-79.37333,CHOQ FM,1.5,kW,105.1 FM,Toronto,36,1,community radio
486,CHRY-FM,Canadian Centre for Civic Media and Arts Development Inc.,urban alternative,43.74167,-79.37333,Vibe 105,250,w,105.5 FM,Toronto,36,1,urban alternative
487,CFPT-FM,First Peoples Radio Inc.,First Nations,43.74167,-79.37333,elmnt fm,2.95,kW,106.5 FM,Toronto,36,1,first nations
488,CILQ-FM,Corus Entertainment,classic rock,43.74167,-79.37333,Q107,40,kW,107.1 FM,Toronto,36,1,classic rock
489,CIUX-FM,Frank Torres (OBCI),classic hits,44.117,-79.133,105.5 Hits FM,900,w,105.5 FM,Uxbridge,1,1,classic hits
490,CKQV-FM,Norwesto Communications,CHR,49.85528,-93.40222,Q104,1.6,kW,103.3 FM,Vermilion Bay,1,1,chr
491,CKXS-FM,Five Amigos Broadcasting,variety hits,42.59472,-82.38417,99 1 CKXS,3,kW,99.1 FM,Wallaceburg,1,1,variety hits
492,CFRZ-FM,Walpole Island First Nation Radio,First Nations community radio,42.55,-82.483,CFRZ,50,w,98.3 FM,Walpole Island,1,1,first nations community radio
493,CIDE-FM-17,Wawatay,First Nations community radio,53.72111,-89.53889,Wahsa,10,w,91.9 FM,Wapekeka,1,1,first nations community radio
494,CHGB-FM,Bayshore Broadcasting,adult hits,44.52056,-80.01667,97 7 Max FM,700,w,97.7 FM,Wasaga Beach,1,1,adult hits
495,CHRZ-FM,Wasauksing Communications Group,First Nations community radio,45.283,-80.15,ReZ 91,60,w,91.3 FM,Wasauksing,1,1,first nations community radio
496,CKWR-FM,Wired World Inc.,community radio,43.467,-80.517,98.5 CKWR,2.4,kW,98.5 FM,Waterloo,5,1,community radio
497,CKKW-FM,Bell Media Radio,oldies,43.467,-80.517,99.5 KFun,4.3,kW,99.5 FM,Waterloo,5,1,oldies
498,CKMS-FM,Radio Waterloo,community radio,43.467,-80.517,CKMS,250,w,102.7 FM,Waterloo,5,1,community radio
499,CFCA-FM,Bell Media Radio,hot adult contemporary,43.467,-80.517,105 3 Virgin Radio,100,kW,105.3 FM,Waterloo,5,1,hot adult contemporary
500,CIKZ-FM,Rogers Communications,country,43.467,-80.517,Country 106.7,5,kW,106.7 FM,Waterloo,5,1,country
501,CBLJ-FM,CBC Radio One,public news/talk,47.99306,-84.77361,CBC Radio One,4.807,kW,88.3 FM,Wawa,3,1,public news/talk
502,CBON-FM-27,Ici Radio-Canada Première,public news/talk (French),47.99306,-84.77361,IRC Première,890,w,90.7 FM,Wawa,3,1,public news/talk
503,CJWA-FM,Labbe Media,adult contemporary,47.99306,-84.77361,Jjam FM,210,w,107.1 FM,Wawa,3,1,adult contemporary
504,CIDE-FM-18,Wawatay,First Nations community radio,52.967,-91.267,Wahsa,10,w,91.9 FM,Weagamow Lake,1,1,first nations community radio
505,CIDE-FM-20,Wawatay,First Nations community radio,52.95,-87.367,Wahsa,8,w,91.9 FM,Webequie,1,1,first nations community radio
506,CKYY-FM,[Stingray Media],country,42.983,-79.233,Country 89,4.25,kW,89.1 FM,Welland,2,1,country
507,CIXL-FM,[Stingray Media],classic rock,42.983,-79.233,91.7 Giant FM,50,kW,91.7 FM,Welland,2,1,classic rock
508,CIWS-FM,WhiStle Community Radio,community radio,43.96667,-79.25,Whistle Radio,50,w,102.9 FM,Whitchurch–Stouffville,1,1,community radio
509,CBLW-FM,CBC Radio One,public news/talk,48.583,-85.283,CBC Radio One,50,w,97.7 FM,White River,2,1,public news/talk
510,CFNO-FM-8,Dougall Media,adult contemporary,48.583,-85.283,CFNO,20,w,100.7 FM,White River,2,1,adult contemporary
511,CBCW-FM,CBC Radio One,public news/talk,45.49667,-78.02389,CBC Radio One,162,w,98.5 FM,Whitney,1,1,public news/talk
512,CBL-FM-4,CBC Music,public music,44.74361,-81.14083,CBC Music,20.22,kW,97.1 FM,Wiarton,1,1,public music
513,CHCR-FM-1,Homegrown Community Radio,community radio,45.5114,-77.5602,CHCR,35,w,104.5 FM,Wilno,1,1,community radio
514,CKWW,Bell Media Radio,oldies,42.283,-83.0,AM 580,500,w,580 AM,Windsor,14,1,oldies
515,CKLW,Bell Media Radio,news/talk,42.283,-83.0,AM 800,50,kW,800 AM,Windsor,14,1,news/talk
516,CBEF,Ici Radio-Canada Première,public news/talk (French),42.283,-83.0,IRC Première,10,kW,1550 AM,Windsor,14,1,public news/talk
517,CIMX-FM,Bell Media Radio,modern rock,42.283,-83.0,89X,100,kW,88.7 FM,Windsor,14,1,modern rock
518,CBE-FM,CBC Music,public music,42.283,-83.0,CBC Music,100,kW,89.9 FM,Windsor,14,1,public music
519,CJAH-FM,United Christian Broadcasters Canada,Christian radio,42.283,-83.0,UCB Canada,7.5,kW,90.5 FM,Windsor,14,1,christian radio
520,CIDR-FM,Bell Media Radio,adult album alternative,42.283,-83.0,93 9 The River,100,kW,93.9 FM,Windsor,14,1,adult album alternative
521,CJWF-FM,Blackburn Radio,country,42.283,-83.0,Country 95 9,11.8,kW,95.9 FM,Windsor,14,1,country
522,CBEW-FM,CBC Radio One,public news/talk,42.283,-83.0,CBC Radio One,19,kW,97.5 FM,Windsor,14,1,public news/talk
523,CJAM-FM,University of Windsor,campus radio,42.283,-83.0,CJAM,2.084,kW,99.1 FM,Windsor,14,1,campus radio
524,CKUE-FM-1,Blackburn Radio,classic hits,42.283,-83.0,Cool FM,9,kW,100.7 FM,Windsor,14,1,classic hits
525,CINA-FM,Neeti P. Ray (OBCI),multilingual,42.283,-83.0,CINA Radio,5,kW,102.3 FM,Windsor,14,1,multilingual
526,CJBC-FM-1,Ici Musique,public music (French),42.283,-83.0,Ici musique,6,kW,103.9 FM,Windsor,14,1,public music
527,CBEF-2-FM,Ici Radio-Canada Première,public news/talk (French),42.283,-83.0,IRC Première,2.4,kW,105.5 FM,Windsor,14,1,public news/talk
528,CKNX,Blackburn Radio,country,43.88778,-81.31167,CKNX,10/1,kW,920 AM,Wingham,4,1,country
529,CIBU-FM,Blackburn Radio,classic rock,43.88778,-81.31167,Classic Rock 94 5,75,kW,94.5 FM,Wingham,4,1,classic rock
530,CBLA-FM-3,CBC Radio One,public news/talk,43.88778,-81.31167,CBC Radio One,30,kW,100.9 FM,Wingham,4,1,public news/talk
531,CKNX-FM,Blackburn Radio,adult contemporary,43.88778,-81.31167,101.7 The One,100,kW,101.7 FM,Wingham,4,1,adult contemporary
532,CJFH-FM,Sound of Faith Broadcasting,Christian radio,43.13056,-80.74667,Hope FM,37,w,94.3 FM,Woodstock,3,1,christian radio
533,CKDK-FM,Corus Entertainment,country,43.13056,-80.74667,Country 104,51,kW,103.9 FM,Woodstock,3,1,country
534,CIHR-FM,Byrnes Communications,adult contemporary,43.13056,-80.74667,Heart FM,20,kW,104.7 FM,Woodstock,3,1,adult contemporary
535,CIDE-FM-19,Wawatay,First Nations community radio,52.85194,-89.28611,Wahsa,10,w,91.9 FM,Wunnummin Lake,1,1,first nations community radio
